key,jp,en,ru
phrase25,彼女はニコルの後ろに完全に隠れてしまった。,"she completely hid behind Nicol.","она тут же спряталась за Николя."
phrase26,ニコル・アスカルトだ。と名乗り、ニコルが苦笑する。,"Nicol smiled wryly and introduced himself: Nicol Ascart.","Николь с улыбкой представился: Николь Аскарт."
phrase27,こちらは妹のソフィアです。,"This is my younger sister, Sophia.","Это моя младшая сестра, София."
phrase28,……少し人見知りで。どうかお気になさらず。,"...She's a bit shy. Please don't mind her.","...Она немного стеснительная. Не обращайте внимания."
phrase29,妹さんなのですね。,"Oh, she's your sister.","О, это ваша сестра."
phrase30,ソフィア様、どうぞよろしくお願いいたします。,"Lady Sophia, it's a pleasure to meet you.","Леди София, рада познакомиться."
phrase31,マリアは彼女へも挨拶をするが,"Maria greeted her as well, but","Мария тоже поприветствовала её, но"
phrase32,ソフィアはニコルの後ろから,"Sophia stayed hidden behind Nicol,","София так и не вышла из-за спины Николя,"
phrase33,出てきてはくれなかった……。,"and didn't come out.","и не показалась."
phrase34,ソフィア様、生徒会の皆さんに,"Lady Sophia, I made muffins for everyone in the student council.","Леди София, я испекла маффины для всех членов студенческого совета."
phrase35,マフィンを作ってきたんです。いかがですか？,"Would you like to try some?","Хотите попробовать?"
name36,ソフィア,"Sophia","София"
phrase37,……甘いもの、好きではないので。,"...I'm not fond of sweets.","...Я не люблю сладкое."
phrase38,あ、あの……ソフィア様,"Uh, Lady Sophia,","Эм, леди София..."
phrase39,焼き菓子があるのですが……,"I also have some baked goods...","У меня есть и выпечка..."
phrase40,お砂糖は控えめに作ったので、よろしければどうぞ。,"I made them with less sugar, so if you'd like...","Я сделала их с минимальным количеством сахара, так что, если хотите..."
phrase41,……虫歯になったら、嫌なので。,"...I don't want to get cavities.","...Я не хочу, чтобы у меня был кариес."
phrase42,ソフィア様、庭園で綺麗な薔薇が咲いておりました。,"Lady Sophia, there are beautiful roses blooming in the garden.","Леди София, в саду распустились прекрасные розы."
phrase43,一緒に見にいきませんか？,"Would you like to go see them with me?","Не хотите пойти посмотреть их со мной?"
phrase44,……日差しが、得意ではないので。,"...I'm not very good with sunlight.","...Я не очень хорошо переношу солнечный свет."
phrase45,日傘なら、私が持ちます。,"I can hold a parasol for you.","Я могу нести зонтик."
phrase46,…………じゃあ、ちょっとだけ。,"...Well, just for a little while.","...Ну, ненадолго."
phrase47,マリアとソフィアが,"Maria and Sophia","Мария и София"
phrase48,庭園を歩いている姿を,"walked through the garden,","гуляли по саду,"
phrase49,ニコルは生徒会室の窓から眺めていた。,"and Nicol watched them from the student council room window.","и Николь наблюдал за ними из окна кабинета студсовета."
phrase50,（不思議な人、だ……）,"(She's... a strange person...)","(Она... странный человек...)"
phrase51,日傘を持って、ソフィアへ,"Holding the parasol and smiling at Sophia,","Держа зонтик и улыбаясь Софии,"
phrase52,微笑みかけているマリアにニコルは目を細めた。,"Nicol narrowed his eyes as he looked at Maria.","Николь прищурился, глядя на Марию."
phrase53,ニコルの見た目や立場に惑わされて,"Without being swayed by Nicol's appearance or position,","Её не смущали ни внешность Николя, ни его положение,"
phrase54,すり寄ってくることもなく。,"she didn't try to flatter him.","она не пыталась угодить ему."
phrase55,周囲とは異なった容姿のソフィアにも,"And she treated Sophia, who looked different from everyone else,","И она с теплотой относилась к Софии, которая выглядела иначе, чем все остальные,"
phrase56,あんなにも明るく接して。,"with such warmth and kindness.","с такой теплотой и добротой."
phrase57,ニコルは最近、ソフィアの変化を感じ取っていた。,"Recently, Nicol had noticed changes in Sophia.","В последнее время Николь замечал изменения в Софии."
phrase58,マリアがソフィアに、アプローチを始めてからだ。,"It had started when Maria began approaching her.","Это началось с того, как Мария начала к ней подходить."
phrase59,どうも、ソフィアはマリアに対し最初は,"At first, Sophia seemed to think that Maria","Поначалу София думала, что Мария"
phrase60,「兄に近寄るため、自分に近づいた」,"was only trying to get closer to Nicol through her.","подходит к ней, чтобы подобраться к её брату."
phrase61,と思っていたようだ。,"That was her assumption.","Так ей казалось."
phrase62,兄を取られたくない。,"She didn't want her brother taken away.","Она не хотела, чтобы её брат у неё исчез."
phrase63,兄に嫌な女を近づけさせたくない。,"She didn't want to let a bad woman near him.","Она не хотела, чтобы какая-то неприятная девушка приближалась к нему."
phrase64,ゆえにマリアへ素っ気ない態度をとっていた,"Because of this, she was cold towards Maria at first,","Поэтому сначала она была холодна с Марией,"
phrase65,ソフィアであるが、それでもめげずに,"but Maria never gave up.","но Мария не сдавалась."
phrase66,笑顔を向けるマリアへ少しずつ心を開き始めている。,"and little by little, Sophia had begun to open up to Maria's smile.","Постепенно София начала открываться на улыбки Марии."
phrase67,（ソフィアが、笑みを……）,"(Sophia... is smiling...)","(София... улыбается...)"
phrase68,マリアに対し、小さくではあるが,"Though small,","Хотя улыбка была едва заметной,"
phrase69,ソフィアは笑顔を浮かべていた。,"Sophia had a smile on her face for Maria.","София всё-таки улыбнулась Марии."
phrase70,妹のあんな顔を見たのはいつ以来か……。,"Nicol couldn't remember the last time he had seen his sister smile like that.","Николь не мог вспомнить, когда в последний раз видел, чтобы его сестра так улыбалась."
phrase71,本当に……不思議な人だ、あなたは。,"You really... are a mysterious person.","Ты действительно... загадочный человек."
phrase72,生徒会室へ向かう途中、マリアはニコルと鉢合わせた。,"On her way to the student council room, Maria bumped into Nicol.","По пути в кабинет студсовета Мария столкнулась с Николем."
phrase73,こんにちは、ニコル様,"Hello, Lord Nicol.","Приветствую, господин Николь."
phrase74,こんにちは、キャンベル嬢。,"Hello, Miss Campbell.","Приветствую, мисс Кэмпбелл."
phrase75,……行先は同じですから一緒に行きましょうか。,"...Since we're headed in the same direction, shall we go together?","...Раз уж мы идём в одном направлении, может, пойдём вместе?"
phrase76,あ、はいっ！,"Ah, yes!","А, да!"
phrase77,魔法学園の敷地は広い。,"The grounds of the Magic Academy were vast.","Территория Магической Академии была обширной."
phrase78,長い廊下を二人は歩く。,"The two walked down the long hallways.","Они шли по длинным коридорам."
phrase79,先日もソフィアの相手をしていただいたようで。,"It seems you also took care of Sophia the other day.","Похоже, вы недавно тоже занимались Софией."
phrase80,いえいえ。,"Not at all.","Нет-нет."
phrase81,ソフィア様とお友達になれて私も嬉しいです！,"I'm happy to have become friends with Lady Sophia!","Я рада, что подружилась с леди Софией!"
phrase82,……そうですか。,"...I see.","...Понятно."
phrase83,（ニコル様、よっぽど,"(Lord Nicol must really","(Господин Николь, должно быть, очень"
phrase84,ソフィア様のことが大切なんだろうなぁ……）,"care about Lady Sophia...）","дорожит леди Софией...)"
phrase85,マリアは微笑ましい気持ちになった。,"Maria felt warmth in her heart.","Мария почувствовала умиление."
phrase86,……そんな時だった。,"It was at that moment.","И вдруг."
phrase87,ひそひそ、と物陰から噂話が聞こえてくる。,"Whispers could be heard from the shadows.","Из-за угла раздались шепотки."
name88,令嬢1,"Lady 1","Девушка 1"
phrase89,ニコル様は素晴らしい方なのに、あのような見た目の,"Lord Nicol is such a wonderful person, but to have a sister who looks like that...","Господин Николь такой замечательный, а у него сестра с такой внешностью..."
phrase90,妹さんがいらっしゃって、お可哀そうだわ。,"He must be so unfortunate","Ему так не повезло"
phrase91,きっと疎んでいらっしゃるはずよ。,"to have her as his sister.","с такой сестрой."
name92,令嬢2,"Lady 2","Девушка 2"
phrase93,もしかして、ソフィア嬢は,"Perhaps Lady Sophia","Может быть, леди София"
phrase94,宰相閣下の愛人の子だったりして……。,"is the Prime Minister's illegitimate child...","незаконнорожденная дочь премьер-министра..."
name95,令嬢3,"Lady 3","Девушка 3"
phrase96,ソフィア嬢の顔『は』,"Her face, at least, is lovely,","Её лицо, по крайней мере, прекрасно,"
phrase97,良くていらっしゃるから案外そうかもしれなくてよ？,"so maybe that's not too far off?","так что, может, это правда?"
phrase98,ふふふっ。,"Heheh.","Хехех."
name99,令嬢たち,"The Ladies","Девушки"
phrase100,あははははははっ――,"Ahahaha!","Ахахахахаха..."
phrase101,……。,"......","......"
phrase102,ニコルは少し眉根を寄せるが,"Nicol furrowed his brows slightly, but","Николь слегка нахмурился, но"
phrase103,何かを言うことはなかった。,"he said nothing.","ничего не сказал."
phrase104,マリアはそっとニコルの顔を,"Maria quietly looked at Nicol's face,","Мария тихо взглянула на лицо Николя,"
phrase105,窺い見ると、一度大きく息を吸って――,"took a deep breath, and—","сделала глубокий вдох и—"
phrase106,一息に言葉を吐き出した。,"let the words out in one gulp:","сказала на одном дыхании:"
text107,気にする必要などないと伝える,"Tell him not to worry about it","Сказала, что не стоит обращать внимания"
text108,ありのままのニコルを信じると伝える,"Tell him you believe in the real Nicol","Сказала, что верит в настоящего Николя"
phrase109,ニコル様には、あんなに素敵な妹さんが,"Lord Nicol has such a wonderful sister,","Что у господина Николя такая чудесная сестра,"
phrase110,いらっしゃるから、きっと,"so she sure they're just jealous.","и что, несомненно, они просто завидуют."
phrase111,ヤキモチを焼かれているのですね。,"They're just envious of you.","Они просто ревнуют."
phrase112,……！,"...!","...!"
phrase113,ニコルは思わず立ち止まってマリアを見つめた。,"Nicol stopped in his tracks and stared at Maria.","Николь невольно остановился и посмотрел на Марию."
phrase114,その真剣な眼差しに、まずいことを,"At his intense gaze, Maria wondered if","От его серьёзного взгляда Мария подумала,"
phrase115,言ってしまっただろうかと不安になる。,"she might have said something wrong.","что, возможно, сказала что-то не то."
phrase116,マリアは謝罪を口にしようとしたが,"Maria opened her mouth to apologize, but","Мария уже собиралась извиниться, но"
phrase117,それよりも先にニコルが口を開いた。,"Nicol spoke first.","Николь заговорил первым."
phrase118,……妹のことを、そのように,"...No one's ever spoken of my sister","...Никто прежде не говорил о моей сестре"
phrase119,言われたのは初めてですよ。,"in such a way before.","в таком тоне."
phrase120,ありがとうございます、キャンベル嬢。,"Thank you, Miss Campbell.","Спасибо вам, мисс Кэмпбелл."
phrase121,ふわり。,"Gently,","Мягко."
phrase122,花のような笑みを浮かべるニコル。,"Nicol smiled like a blooming flower.","Николь улыбнулся, как цветок, расцветающий на ветру."
phrase123,その言葉は、普段は感情を見せないニコルが,"Those words, from someone who rarely shows emotion,","Эти слова, исходящие от того, кто редко показывает свои чувства,"
phrase124,見せてくれた真っ直ぐな想いなのだとマリアは感じた。,"made Maria feel Nicol's sincere heart.","заставили Марию почувствовать искренность Николя."
phrase125,私は、ソフィア様のような妹さんがいるニコル様を,"I envy you for having such a sister as Lady Sophia, Lord Nicol.","Я завидую вам, господин Николь, что у вас есть такая сестра, как леди София."
phrase126,とてもうらやましく思います。,"I'm quite envious.","Очень завидую."
phrase127,ニコル様が、ソフィア様をとても大切に,"I can tell you care for her deeply.","Я вижу, как вы дорожите ею."
phrase128,していらっしゃるということも伝わってきます。,"It shows in how you treat her.","Это видно по тому, как вы к ней относитесь."
phrase129,だから私は、私自身が感じた,"That's why, I truly believe in what I feel—","Вот почему я искренне верю в свои чувства—"
phrase130,ニコル様とソフィア様を心から信じています。,"I believe in both you and Lady Sophia.","Я верю и в вас, и в леди Софию."
phrase131,……。,"...","..."
phrase132,ニコルは思わず立ち止まってマリアを見つめた。,"Nicol stopped and stared at Maria again.","Николь снова остановился и посмотрел на Марию."
phrase133,マリアは真っ直ぐに、ニコルの瞳を見つめ返す。,"Maria looked him straight in the eye.","Мария уверенно посмотрела ему в глаза."
phrase134,自分の言葉、そして心に,"With her words and her heart,","Её слова и её сердце"
phrase135,一切の偽りがないことを示すかのように。,"showed that she was being honest.","показывали, что она абсолютно честна."
phrase136,心から信じる、ですか。,"You truly believe... don't you?","Ты действительно веришь... не так ли?"
phrase137,苦笑のように、でも綻ぶように,"He smiled a little, almost like a bitter laugh, but softer,","Он немного улыбнулся, как будто с горечью, но мягче,"
phrase138,ニコルは小さく笑ってみせた。,"Nicol let out a small chuckle.","Николь тихо засмеялся."
phrase139,……その言葉をこちらも信じましょう、『心から』,"...Then I'll believe those words too. 'Truly.'","...Тогда я тоже поверю в эти слова. 'От всего сердца.'"
phrase140,ありがとうございます、キャンベル嬢。,"Thank you, Miss Campbell.","Спасибо, мисс Кэмпбелл."
phrase141,その言葉は、普段は感情を,"Those words came from someone who rarely shows emotion,","Эти слова исходили от того, кто редко показывает свои чувства,"
phrase142,見せないニコルが見せてくれた,"and Maria could tell that Nicol's heart was filled with","и Мария поняла, что сердце Николя было переполнено"
phrase143,安堵と感謝の優しい想いだった。,"a warm sense of relief and gratitude.","тёплой благодарностью и облегчением."
phrase144,お礼なんて……。,"No need to thank me...","Благодарить не за что..."
phrase145,私は、思ったことをそのまま口にしただけですから。,"I just said what I was thinking.","Я просто сказала то, что думала."
phrase146,謙遜しながらも,"She was humble,","Она скромничала,"
phrase147,ニコルが見せてくれた心からの笑みに,"but Nicol's genuine smile","но искренняя улыбка Николя"
phrase148,マリアの心臓はドキドキと高鳴っていた。,"made her heart race.","заставила её сердце биться быстрее."
phrase149,マリアは重い溜息を吐いた。,"Maria let out a heavy sigh.","Мария тяжело вздохнула."
phrase150,もうすぐ魔法学園の卒業式。,"Graduation day at the Magic Academy was fast approaching.","День выпускного в Магической Академии стремительно приближался."
phrase151,ニコルが卒業する日が、迫っていた。,"The day Nicol would graduate was drawing near.","День выпуска Николя приближался."
phrase152,永遠のお別れじゃないけれど……。,"It wasn't a permanent goodbye, but...","Это не было прощанием навсегда, но..."
phrase153,ニコル様は貴族で、私は平民。,"Lord Nicol is a noble, and I'm just a commoner.","Господин Николь — дворянин, а я простолюдинка."
phrase154,卒業したら、もうお会いすることも,"Once he graduates, I may never see him again.","Когда он закончит учёбу, возможно, мы больше не увидимся."
phrase155,なくなるかもしれない。,"It was possible.","Это было вполне возможно."
phrase156,生徒会室で雑務をこなしながら,"While finishing some student council tasks,","Занимаясь мелкими делами в кабинете студсовета,"
phrase157,小さく独り言をこぼすと。,"Maria muttered to herself.","Мария пробормотала про себя."
phrase158,どうかしましたか？,"Is something wrong?","Что-то случилось?"
phrase159,いつのまにか、傍にニコルがいた。,"Suddenly, Nicol was by her side.","Незаметно Николь оказался рядом с ней."
phrase160,マリアは弾かれたように顔を上げる。,"Maria raised her head as if startled.","Мария резко подняла голову."
phrase161,あっ、いえ、なんでもないです！,"Ah, no, it's nothing!","А, нет, ничего!"
phrase162,誤魔化さないで。,"Don't hide it from me.","Не скрывай от меня."
phrase163,どうやらニコルの方が一枚上手なようだ。,"It seemed Nicol had the upper hand.","Похоже, Николь оказался хитрее."
phrase164,じっと彼に見つめられて,"Under his intense gaze,","Под его пристальным взглядом"
phrase165,マリアは自分の手元に視線を落とした。,"Maria lowered her eyes to her hands.","Мария опустила взгляд на свои руки."
phrase166,もうすぐ卒業式なので……。,"Since the graduation ceremony is approaching...","Скоро выпускной, поэтому..."
phrase167,ニコル様が卒業されてしまうと思うと,"I feel sad when I think of you graduating, Lord Nicol...","Когда я думаю о том, что вы скоро закончите учёбу, господин Николь..."
phrase168,寂しいな、と感じてしまって……。,"It makes me feel... lonely.","Мне становится... одиноко."
phrase169,……いけませんよね！,"...That's wrong, isn't it!","...Это нехорошо, правда!"
phrase170,おめでたいことなのに,"It's a joyous occasion, but","Это же радостное событие, но"
phrase171,こんな、しんみりしちゃうなんて……。,"I shouldn't be feeling so down...","а я почему-то грущу..."
phrase172,誤魔化さないでと言われたのに,"Even though he had told her not to hide it,","Хотя он сказал не скрывать это,"
phrase173,結局、マリアは強がるように,"Maria ended up forcing a smile.","Мария всё равно попыталась улыбнуться."
phrase174,笑みを浮かべてしまった。,"She couldn't help it.","Она не удержалась."
phrase175,よかった。,"I'm glad.","Я рад."
phrase176,ニコルがくすりと笑う。,"Nicol chuckled softly.","Николь тихо усмехнулся."
phrase177,……俺も同じ気持ちだったから。,"...Because I feel the same way.","...Потому что я чувствую то же самое."
phrase178,え――。,"Eh—","Что—"
phrase179,ニコルは目を細めて微笑んだまま,"Nicol, still smiling, narrowed his eyes as he said,","Николь всё ещё улыбался и прищурился, сказав,"
phrase180,テーブルの上のマリアの手に,"and placed his hand gently on top of Maria's.","и мягко положил свою руку на руку Марии, лежащую на столе."
phrase181,そっと自分の手を重ねた。,"",""
phrase182,今までは、出会いも別れも興味なんてなかったのに。,"Until now, I never cared much about meetings or partings.","До этого мне не было дела до встреч и прощаний."
phrase183,……キャンベル嬢と過ごす時間が減ってしまうのは、,"But the thought of having less time with you, Miss Campbell,","Но мысль о том, что мы с вами больше не будем проводить время вместе, мисс Кэмпбелл,"
phrase184,すごく寂しい。心からそう思う。,"makes me very lonely. I truly feel that way.","заставляет меня чувствовать себя одиноко. Я действительно так чувствую."
phrase185,……ここまで家族以外の他人に,"I've never felt this way about anyone besides my family before.","Я никогда прежде не испытывал таких чувств ни к кому, кроме своей семьи."
phrase186,興味を持ったのは、初めてだ。,"It's the first time.","Это впервые."
phrase187,ニコル様……。,"Lord Nicol...","Господин Николь..."
phrase188,……ずっと、俺の中で――,"For so long, deep down inside me—","Всё это время, глубоко внутри меня—"
phrase189,何も知らない他人から,"I’ve been hurt by others who don’t know me,","Меня ранили люди, которые меня не знали,"
phrase190,愛する家族をー妹のソフィアを,"and insulted the people I love—my sister, Sophia.","и оскорбляли тех, кого я люблю — мою сестру Софию."
phrase191,俺の重荷だと、そう言われ続けることが、苦しかった。,"They kept calling her a burden to me. It hurt.","Они продолжали говорить, что она для меня бремя. Это было больно."
phrase192,見た目と肩書だけで判断して,"They judged us by our looks and titles,","Они судили нас только по внешности и титулу,"
phrase193,中身を見ようともしない者たちが,"without bothering to see who we really were.","не пытаясь узнать нас по-настоящему."
phrase194,媚びてすり寄ってくるのがほとほと嫌だった。,"I grew tired of them fawning over me.","Я устал от тех, кто льстил мне."
phrase195,……あなたは、俺とソフィアの,"But you,","Но ты,"
phrase196,中身を見て、笑みを向けてくれる。,"you saw who we really are and smiled at us.","ты увидела, какими мы есть на самом деле, и улыбнулась нам."
phrase197,ソフィアがあんな風に笑顔を,"Sophia only started smiling like that","София начала так улыбаться"
phrase198,浮かべるようになったのは全てあなたのおかげだ。,"because of you.","только благодаря тебе."
phrase199,ありがとう、キャンベル嬢。,"Thank you, Miss Campbell.","Спасибо, мисс Кэмпбелл."
phrase200,あなたに心からの感謝を。,"My deepest gratitude to you.","Моя искренняя благодарность тебе."
phrase201,（なんて答えよう？）,"(What should I say?)","(Как мне ответить?)"
text202,こちらこそ、ありがとうございます,"Thank you as well.","Спасибо вам тоже."
text203,お礼を言われるようなことなんて……,"There's nothing to thank me for...","Мне не за что благодарить..."
phrase204,そんな――こちらこそです、ニコル様。,"No, really, it's me who should be thanking you, Lord Nicol.","Нет, господин Николь, это я должна вас благодарить."
phrase205,ニコル様もソフィア様も,"Both you and Lady Sophia","Вы с леди Софией"
phrase206,平民の私じゃなくて私自身を見てくださった。,"saw me for who I am, not just as a commoner.","увидели во мне не просто простолюдинку, а меня как личность."
phrase207,こんなに楽しく学園生活を送れたのは,"The reason I've enjoyed my school life so much","Причина, по которой моя школьная жизнь была такой радостной —"
phrase208,ニコル様たちのおかげです！,"is thanks to you both!","это благодаря вам!"
phrase209,ふふ、本当に？,"Haha, really?","Ха-ха, правда?"
phrase210,あうう……。,"Auu...","Ау..."
phrase211,ほ、本当ですよ！,"Y-Yes, it's true!","Да, правда!"
phrase212,うん、わかっている。,"Yeah, I know.","Да, я знаю."
phrase213,……ああ。,"...Ah.","...А."
phrase214,久しく、心から笑うなんてことも忘れてたな。,"I had forgotten what it felt like to smile from the heart.","Я уже и забыл, каково это — искренне улыбаться."
phrase215,強くあらねば、しっかりせねば、と,"I always thought I had to be strong, to be firm,","Я всегда думал, что должен быть сильным, собранным,"
phrase216,俺は気を張り続けていたのかもしれない。,"and maybe I've been keeping myself too guarded.","и, возможно, я слишком долго держал себя в напряжении."
phrase217,こんな風に思える日がくるなんて……。,"I never thought I'd feel this way...","Я не думал, что когда-нибудь буду так себя чувствовать..."
phrase218,そう言ってマリアを見つめるニコルの眼差しは、,"Nicol's gaze as he looked at Maria","Взгляд Николя, когда он смотрел на Марию,"
phrase219,温かくて眩しい日だまりを見るかのようであった。,"was as warm and radiant as a sunny day.","был таким же тёплым и ярким, как солнечный день."
phrase220,いいえ、そんな,"No, really,","Нет, правда,"
phrase221,お礼を言われるようなことなんて……。,"there's no need to thank me...","не за что меня благодарить..."
phrase222,マリアとしては、ありのままに,"Maria simply acted naturally,","Мария вела себя естественно,"
phrase223,ニコルとソフィアへ接していただけ。,"just being herself with Nicol and Sophia.","просто оставаясь собой в общении с Николаем и Софией."
phrase224,だからこそ、ニコルからの,"That's why Nicol's","И именно поэтому её смущала"
phrase225,素直な感謝が気恥ずかしいのだ。,"genuine gratitude made her feel embarrassed.","искренняя благодарность Николя."
phrase226,……ふふ。君は照れ屋だね。,"...Heh. You're so shy.","...Хех. Ты такая застенчивая."
phrase227,でも、感謝ぐらいは素直に受け取ってほしいな。,"But at least accept my thanks.","Но хотя бы прими мою благодарность."
phrase228,ご、ごめんなさい……。,"I-I'm sorry...","П-простите..."
phrase229,謝らなくていい。,"No need to apologize.","Не нужно извиняться."
phrase230,あうう……。,"Auu...","Ау..."
phrase231,あはは――君はかわいいね。,"Haha—You're adorable.","Ха-ха, ты такая милая."
phrase232,……ああ。,"...Ah.","...А."
phrase233,誰かにこんな想いを向けるなんて。,"I never thought I'd feel this way about anyone.","Никогда не думал, что буду так относиться к кому-то."
phrase234,誰かに、こんなに心を許すなんて。,"I never thought I'd open my heart to someone like this.","Никогда не думал, что смогу так открыться кому-то."
phrase235,……思っても、みなかったな……。,"I never imagined it...","Никогда не представлял себе этого..."
phrase236,そう言ってマリアを見つめるニコルの眼差しは,"As he said this, Nicol looked at Maria with a gaze","Сказав это, Николь посмотрел на Марию взглядом,"
phrase237,どこまでも優しくて、,"that was endlessly gentle,","который был бесконечно добрым,"
phrase238,まるで春の日だまりのようであった。,"like a warm spring day.","словно тёплый весенний день."
phrase239,キャンベル嬢。,"Miss Campbell.","Мисс Кэмпбелл."
phrase240,明日の卒業パーティーで伝えたいことがある。,"There is something I want to tell you at tomorrow's graduation party.","Завтра на выпускном балу я хочу вам кое-что сказать."
phrase241,どうか、パーティーに出席してほしい。,"Please, be sure to attend.","Прошу вас, обязательно приходите."
phrase242,ニコルはそう耳打ちして,"Nicol whispered this,","Николь шепнул это,"
phrase243,「では」と一礼しきびすを返すのであった。,"bowed and left with a polite gesture.","поклонился и ушёл."
phrase244,卒業パーティーは学園内でも,"The graduation party is known to be one of the most glamorous events at the academy.","Выпускной бал считается одним из самых ярких событий в академии."
phrase245,その華やかさで知られている。,"",""
phrase246,――だからこそ、マリアは悩んでいた。,"—And that's why Maria was worried.","—И именно поэтому Мария переживала."
phrase247,平民の出であるマリアには,"As a commoner, Maria","Мария, будучи простолюдинкой,"
phrase248,中古の安いドレスを手直しして,"had only been able to alter a cheap second-hand dress","смогла лишь подправить старое подержанное платье,"
phrase249,準備するのが精一杯。,"and that was the best she could do.","и это было пределом её возможностей."
phrase250,はたしてそんなドレスで,"Would such a dress be suitable","Будет ли такое платье уместным,"
phrase251,ニコルの前に現れてもよいものか……。,"to appear before Nicol in...?","чтобы появиться перед Николем...?"
phrase252,（私だけじゃなくて、一緒にいるだけで,"(It’s not just about me. Just being with me,","(Дело не только во мне. Моё присутствие рядом"
phrase253,ニコル様まで笑われてしまうかも……）,"Nicol might also be laughed at...)","может стать причиной насмешек над Николя...)"
phrase254,夜の女子寮で自室の鏡の前に立ち、,"Standing in front of her mirror in the girls' dormitory that night,","Стоя перед зеркалом в своей комнате в женском общежитии той ночью,"
phrase255,マリアは溜息を吐いた。,"Maria sighed.","Мария тяжело вздохнула."
phrase256,と、その時。,"And at that moment,","И в этот момент."
phrase257,部屋のドアがノックされる。,"there was a knock at her door.","в дверь постучали."
phrase258,はい？,"Yes?","Да?"
phrase259,こんな時間に誰だろう、と,"Wondering who could be visiting at such an hour,","Интересно, кто это может быть так поздно,"
phrase260,マリアはドアを開けた。,"Maria opened the door.","Мария открыла дверь."
phrase261,こんばんは、マリアさん。,"Good evening, Maria.","Добрый вечер, Мария."
phrase262,ソフィア様!?　どうしてこちらへ？,"Lady Sophia!? What brings you here?","Леди София!? Что вас сюда привело?"
phrase263,マリアさんにお話ししたいことがあるのです。,"I have something I would like to talk to you about, Maria.","Я хотела бы кое-что с вами обсудить, Мария."
phrase264,よろしいですか？,"Is that alright?","Не возражаете?"
phrase265,ええ……どうぞ。,"Yes... Please, come in.","Да... Пожалуйста, входите."
phrase266,マリアはソフィアを招き入れた。,"Maria invited Sophia in.","Мария пригласила Софию войти."
phrase267,話を切り出したのはソフィアだ。,"It was Sophia who began the conversation.","Заговорила первой София."
phrase268,真剣な目で、マリアを見つめる。,"She gazed at Maria with a serious expression.","Она серьёзно посмотрела на Марию."
phrase269,お兄様のことを、どうお思いですか？,"What do you think of my brother?","Что вы думаете о моём брате?"
phrase270,え――。,"Eh—","Что—"
phrase271,いきなりの言葉に面食らうが,"Taken aback by the sudden question,","Ошеломлённая внезапным вопросом,"
phrase272,マリアは眉尻を下げ、本心を吐露した。,"Maria furrowed her brows and revealed her true feelings.","Мария нахмурилась и открыла свои истинные чувства."
phrase273,……お別れしたくない、です。,"...I don’t want to say goodbye.","...Я не хочу прощаться."
phrase274,ニコル様が遠くに行ってしまうと,"The thought of Lord Nicol going far away","Мысль о том, что господин Николь уедет далеко,"
phrase275,考えると、心がギュッとして……切ないです。,"makes my heart ache... and it’s painful.","сжимает моё сердце... и это больно."
phrase276,……できることなら,"If possible,","Если бы я могла,"
