key,jp,en,ru
phrase79,敵意の眼差しでマリアを囲んでいる。,"surrounded Maria with hostile glares.","окружили Марию враждебными взглядами."
phrase80,ああ、今日もか。,"Oh, it's happening again today...","Ах, опять это."
phrase81,マリアはうつむき、唇を噛んだ。,"Maria looked down and bit her lip.","Мария опустила голову и прикусила губу."
phrase82,光の魔力を持ってるからって,"Just because you have light magic power,","Думаешь, раз у тебя есть сила света,"
phrase83,調子に乗ってるんじゃないわよ！,"don't get ahead of yourself!","можешь задирать нос!"
phrase84,彼女たちはマリアを目の敵にして,"They treated Maria as their sworn enemy,","Они возненавидели Марию"
phrase85,ことあるごとに心ない言葉を,"always throwing cruel words at her","и всякий раз осыпали её жестокими словами,"
phrase86,マリアに浴びせていたのだ。,"whenever they could.","когда только была возможность."
phrase87,相手はいずれも名高い家の令嬢たち。,"They were all noble ladies from prestigious families.","Все они были благородными девицами из знатных семей."
phrase88,よもや平民のマリアがそれが不当な罵倒で,"For a commoner like Maria, even if their insults were unjust,","Для простолюдинки, как Мария, даже если их оскорбления были несправедливы,"
phrase89,あっても言い返すことなど許されなかった。,"she couldn't talk back.","ей не позволено было ответить."
phrase90,（大丈夫……）,"(It'll be okay...)","(Всё будет хорошо...)"
name91,令嬢1,"Noble Lady 1","Девица 1"
phrase92,仕方なく相手をさせられてる,"The student council must feel so sorry","Наверняка студсовету очень жаль,"
phrase93,生徒会の方々も、本当にお気の毒だわ！,"for being forced to deal with you!","что им приходится с тобой общаться!"
phrase94,（今日も、じっとしていれば……）,"(If I just stay quiet today...","(Если я просто буду молчать...)"
name95,令嬢2,"Noble Lady 2","Девица 2"
phrase96,そうよ！,"That's right!","Верно!"
phrase97,どうせ学力テストだって,"Your grades were probably only good","И твои оценки на тестах, наверное, хорошие только потому,"
phrase98,魔力が特別だからひいきされたに決まってるわ！,"because they favored you for your magic!","что тебя поддерживали из-за твоей магии!"
phrase99,（彼女たちも気が済んだら,,"(Once they've said their fill,","(Когда они наговорятся,"
phrase100,立ち去ってくれるはずだから……）,,"they'll leave...)","они уйдут...)"
phrase101,だが――,"But—","Но—"
phrase102,今日はいつにも増して不穏だった。,"Today was more tense than usual.","Сегодня было особенно неспокойно."
phrase103,令嬢たちの金切り声はエスカレートしていく。,"The noble girls' shrill voices escalated.","Резкие голоса благородных девиц становились всё громче."
phrase104,ついには――,"Finally—","И, наконец—"
phrase105,その被害者面が気に食わないのよ！,"I can't stand that victim face of yours!","Меня бесит твоё выражение «жертвы»!"
phrase106,あなた、この女に自分の立場を,"Show her where she belongs!","Покажи ей её место!"
phrase107,理解させておやりなさい。,"Make her understand her place.","Дай ей понять, где её место."
phrase108,カタリナが取り巻きの令嬢に,"Katarina arrogantly commanded her followers,","Катарина высокомерно приказала своей свите."
phrase109,傲慢な態度で命令を下す。,"",""
phrase110,すると一人の令嬢が意地悪な笑みを,"One of the girls gave a malicious smile","Одна из девушек злобно усмехнулась"
phrase111,浮かべながら掌を中空にかざした。,"and raised her hand.","и подняла руку."
phrase112,ゆらり――,"A faint flicker—","Мерцание—"
phrase113,彼女の手に灯るのは炎だ。,"A flame ignited in her hand.","В её руке вспыхнуло пламя."
phrase114,攻撃的な火の魔法がマリアへと放たれる――！,"She launched an aggressive fire spell at Maria—!","Она выпустила в Марию агрессивное заклинание огня—!"
phrase115,――っ！,"—!","—!"
phrase116,マリアはぎゅっと目を閉じた。,"Maria squeezed her eyes shut tightly.","Мария крепко зажмурилась."
phrase117,だが、痛みはやってこない。,"But the pain never came.","Но боль так и не пришла."
phrase118,おそるおそる目を開くと、,"When she cautiously opened her eyes,","Когда она осторожно открыла глаза,"
phrase119,マリアの目の前に,"there was a massive wall of earth in front of her.","перед ней возвышалась огромная стена земли."
phrase120,大きな土の壁ができていた。,"",""
phrase121,なっ……!?,"Wh-what...!?","Ч-что...!?"
phrase122,いや、壁ではない。,"No, it wasn't just a wall.","Нет, это была не просто стена."
phrase123,土魔法による巨大な人形が,"It was a giant figure made of earth magic","Это была огромная фигура, созданная из земляной магии,"
phrase124,盾となってマリアを護ったのだ。,"that stood as a shield to protect Maria.","которая стояла перед ней, защищая её."
phrase125,土人形が巨大な腕を振り上げる。,"The earthen figure raised its massive arm.","Глиняная фигура подняла массивную руку."
phrase126,あの腕をぶつけられたらどうなるか――,"If that arm hit someone—","Если бы эта рука обрушилась на кого-то—"
phrase127,ひっ……!!,"Eek...!!","Ах...!!"
phrase128,想像しなくてもわかることにカタリナたちは,"Without needing to imagine what would happen, Katarina and the others","Не представляя даже, что могло бы произойти, Катарина и другие"
phrase129,顔色を真っ青にして悲鳴を上げ、,"turned pale and screamed,","побледнели и закричали,"
phrase130,クモの子を散らすように我先と逃げていった……。,"running away like scattered spiders...","разбегаясь, как испуганные пауки..."
phrase131,あ、あの……。,"Um...","Эм, извините..."
phrase132,マリアは助けてくれたらしい、土人形に話しかける。,"Maria tried to speak to the earthen figure that had saved her.","Мария попыталась заговорить с глиняной фигурой, которая, казалось, её спасла."
phrase133,だが土人形は無言のまま、マリアを抱え上げた。,"But the figure remained silent and gently lifted Maria.","Но фигура молчала и осторожно подняла Марию."
phrase134,きゃあっ……!?,"Kyaa...!?","Кья...!?"
phrase135,驚くマリアだが土人形の腕は優しく,"Maria was startled, but the figure's arms were gentle","Мария была напугана, но руки фигуры были нежны"
phrase136,敵意がないことを理解して、どこかへ,"and she realized it meant no harm, allowing it to carry her.","и, поняв, что в этом не было враждебности, позволила ему нести её куда-то."
phrase137,歩き出す土人形に、ひとまず身を委ねるのであった。,"",""
phrase138,土人形は中庭の片隅で立ち止まった。,"The earthen figure stopped at the corner of the courtyard.","Глиняная фигура остановилась в углу двора."
phrase139,どろどろと元の土くれに戻りながら,"As it melted back into the ground,","Когда она вновь растеклась в землю,"
phrase140,マリアを丁寧に下ろしてくれる。,"it carefully set Maria down.","она осторожно опустила Марию."
phrase141,……ケガは――してないみたい、かな？,"...It doesn't seem like you're hurt, right?","...Похоже, ты не ранена, да?"
phrase142,そんな中、突然声をかけられ,"Suddenly, a voice spoke up,","Неожиданно раздался голос,"
phrase143,マリアはそちらへ振り返る。,"and Maria turned toward it.","и Мария повернулась на его источник."
phrase144,キース様……!?,"Lord Keith...!?","Кит-сама...!?"
phrase145,……はぁ。,"...Sigh.","...Ха."
phrase146,拾ったハンカチを返そうと思ったら,"I was just coming to return the handkerchief I picked up,","Я просто хотел вернуть платок, который подобрал,"
phrase147,あんな場面に出くわすなんてね。,"but I stumbled onto *that* scene instead.","но вместо этого я оказался свидетелем *этого*."
phrase148,キース様が、助けてくださったのですか？,"Lord Keith, did you save me?","Кит-сама, вы спасли меня?"
phrase149,まあ……そうなるのかな？,"Well... I guess you could say that.","Ну... думаю, можно сказать и так."
phrase150,でも内緒にしてくれよ。,"But keep it a secret, okay?","Но не говори никому, хорошо?"
phrase151,ホラ、あれは僕の……一応は義姉だろ。,"I mean, after all... Katarina's technically my sister, right?","В конце концов... Катарина всё же моя сестра."
phrase152,僕が君を助けたっておおっぴらになると,"If it gets out that I helped you,","Если станет известно, что я помог тебе,"
phrase153,立場上、面倒なことになるからさ。,"it could cause some problems for me.","это может вызвать для меня проблемы."
phrase154,だから自分が出るのではなく,"That's why I didn't get involved directly.","Вот почему я не вмешался напрямую."
phrase155,土人形をけしかけたのだとキースは説明する。,"I sent the earthen figure instead, Keith explained.","Я послал глиняную фигуру, объяснил Кит."
phrase156,……が、目の前のマリアが突然,"...But then, the Maria in front of him suddenly","...Но внезапно Мария перед ним"
phrase157,ぽろぽろと大粒の涙をこぼしはじめ,"started to shed large tears.","начала проливать крупные слёзы."
phrase158,キースは思わずうろたえた。,"Keith panicked,","Кит растерялся,"
phrase159,あ――違うんです、ごめんなさい。,"Ah—no, I'm sorry.","Ах—нет, простите."
phrase160,お礼を言わなきゃ、いけない、のに……,"I should be thanking you, but...","Мне надо было поблагодарить вас, но..."
phrase161,マリアは涙を止めようとするが,"Maria tried to stop her tears,","Мария пыталась сдержать слёзы,"
phrase162,次から次へとそれは込み上げる。,"but they kept flowing one after the other.","но они всё текли и текли."
phrase163,マリア……。,"Maria...","Мария..."
phrase164,キースはマリアの震える肩を見て,"Seeing Maria's trembling shoulders, Keith","Смотря на дрожащие плечи Марии, Кит"
phrase165,彼女が先ほど、どれほどの恐怖を,"realized just how much fear she must have felt earlier.","осознал, сколько же страха она испытала."
phrase166,感じていたのかを理解した。,"",""
phrase167,（どれほどの不安と恐怖を……,"(Just how much anxiety and fear...","(Сколько же страха и тревоги..."
phrase168,この子は、たった一人で……）,,"this girl must have been feeling all alone...)","эта девушка должна была пережить в одиночку...)"
phrase169,君も、たった一人で、我慢していたんだね……。,"You've been enduring it all alone too, haven't you...?","Ты тоже терпела всё это одна, да...?"
phrase170,自らの生い立ちにマリアを重ねると,"As he saw himself in Maria's circumstances,","Отождествляя её ситуацию со своей,"
phrase171,キースは彼女を放っておくことが,"Keith couldn't bring himself to leave her be.","Кит не мог просто оставить её одну."
phrase172,どうしてもできなかった。,"",""
phrase173,キースはおずおずと手を伸ばし,"Keith hesitantly reached out his hand,","Кит неуверенно протянул руку,"
phrase174,だけどしっかりとマリアの体を抱きしめた。,"but then firmly hugged Maria.","но затем крепко обнял Марию."
phrase175,……よく耐えたね。怖かったろう。,"...You held up well. You must've been scared.","...Ты молодец. Должно быть, тебе было страшно."
phrase176,もう大丈夫だから。,"But it's okay now.","Но теперь всё хорошо."
phrase177,マリアの髪を撫でる手は、どこかぎこちない。,"His hand awkwardly stroked Maria's hair.","Его рука неловко погладила волосы Марии."
phrase178,けれど懸命に、キースはマリアを慰めようとしていた。,"But Keith was trying his hardest to comfort her.","Но Кит изо всех сил старался её утешить."
phrase179,だから、ほら……。,"So, you know...","Так что, ну..."
phrase180,もう泣きやみなよ。,"stop crying, okay?","хватит плакать, ладно?"
phrase181,遊び人で知られるキースが見せる,"The usually flirtatious Keith","Обычно ветреный Кит"
phrase182,どこか不慣れな雰囲気。,"now had an unfamiliar air of awkwardness.","сейчас выглядел неловко."
phrase183,けれどマリアは、心から自分を慰めようと,"But Maria was deeply moved by his sincere effort to comfort her.","Но Мария была глубоко тронута его искренними усилиями её утешить."
phrase184,してくれているキースの心優しさに胸を打たれる。,"",""
phrase185,その安心感からか気づけば涙も止まっている。,"That sense of security stopped her tears before she even realized it.","От чувства безопасности её слёзы незаметно прекратились."
phrase186,マリアは指先で目元を拭いキースを見上げた。,"Maria wiped her eyes with her fingertips and looked up at Keith.","Мария вытерла глаза пальцами и посмотрела на Кита."
phrase187,（何か言わないと……）,,"(I have to say something...)","(Надо что-то сказать...)"
text188,ありがとうございます,"Thank you.","Спасибо."
text189,どうして助けてくれたんですか？,"Why did you help me?","Почему вы мне помогли?"
phrase190,……ありがとうございます、キース様。,"...Thank you, Lord Keith.","...Спасибо вам, Кит-сама."
phrase191,キース様が助けてくださらなかったら、今頃、私……。,"If you hadn't saved me, I don't know what would've happened to me...","Если бы вы меня не спасли, я не знаю, что бы со мной случилось..."
phrase192,本当に、何とお礼を申し上げたらいいのか……。,"I don't even know how to thank you enough...","Я даже не знаю, как вас отблагодарить..."
phrase193,マリアの声は、泣き止んだばかりで,"Maria's voice, still shaky from crying,","Голос Марии, ещё дрожащий от слёз,"
phrase194,まだ少しだけ潤んでいるが、,"was still a little moist, but","всё ещё немного дрожал, но"
phrase195,それでも一生懸命にキースへ感謝の気持ちを伝えた。,"she earnestly expressed her gratitude to Keith.","она изо всех сил старалась выразить благодарность Киту."
phrase196,ん……別に。,"Well... it's nothing.","Ну... ничего."
phrase197,女の子が酷い目に遭うのを,"Seeing a girl go through something like that","Видеть, как с девушкой так поступают,"
phrase198,黙って見てるのも気分悪いし……。,"and just standing by would feel wrong...","и просто стоять в стороне, было бы неправильно..."
phrase199,キースはふいっとマリアから離れそっぽを向いた。,"Keith turned away from Maria.","Кит отвернулся от Марии."
phrase200,けれどその横顔は、照れ臭いのか,"But his profile, slightly flushed,","Но его лицо, слегка покрасневшее,"
phrase201,少しだけ赤く染まっていた。,"was tinged with embarrassment.","смущённо порозовело."
phrase202,ま、ケガがなくてよかったんじゃない？,"Well, at least you didn't get hurt, right?","Ну, главное, что ты не пострадала, да?"
phrase203,そんな物言いだけれど、,"Even though he said it like that,","Несмотря на то, как он это сказал,"
phrase204,キースの言葉には安堵が含まれていて。,"there was a sense of relief in his words.","в его словах чувствовалось облегчение."
phrase205,不器用な優しさにマリアはほんのりと,"Maria couldn't help but smile","Мария не могла не улыбнуться"
phrase206,笑みを浮かべてしまうのだった。,"at his awkward kindness.","его неловкой доброте."
phrase207,あの……キース様。,"Um... Lord Keith.","Эм... Кит-сама."
phrase208,どうして私を,"Why did you","Почему вы"
phrase209,助けてくださったのでしょうか？,"help me?","помогли мне?"
phrase210,カタリナ公爵令嬢はキースの義理の姉。,"Lady Katarina is Keith's stepsister.","Леди Катарина — сводная сестра Кита."
phrase211,先のキースの行動は、明らかに,"Keith's actions earlier clearly went against","Действия Кита шли вразрез с"
phrase212,カタリナに歯向かうものであった。,"Katarina.","интересами Катарины."
phrase213,いくら義弟といえど,"Even though he's her stepbrother,","Хотя он и её сводный брат,"
phrase214,あの行動はキースの立場を考えれば,"those actions could be problematic for him.","его действия могли поставить его в сложное положение."
phrase215,良くはない選択だったろうに……。,"",""
phrase216,ん……別に。,"Well... it's nothing.","Ну... ничего."
phrase217,女の子が酷い目に遭うのを,"Seeing a girl go through something like that","Видеть, как с девушкой так поступают,"
phrase218,黙って見てるのも気分悪いし……。,"and just standing by would feel wrong...","и просто стоять в стороне, было бы неправильно..."
phrase219,……あれは僕の勝手だから。,"...That was my own choice.","...Это было моё собственное решение."
phrase220,君がいちいち心配したり、,"You don't need to worry","Тебе не нужно волноваться"
phrase221,変に気に病む必要なんて、ないよ。わかった？,"or feel guilty about it, okay?","или чувствовать себя виноватой, хорошо?"
phrase222,不器用な物言いだが、,"Even though his words were clumsy,","Хотя его слова были неловкими,"
phrase223,キースの言葉には、マリアに対する,"there was a sense of care for Maria in them.","в них чувствовалась забота о Марии."
phrase224,気遣いが含まれていた。,"",""
phrase225,……ありがとうございます、キース様。,"...Thank you, Lord Keith.","...Спасибо, Кит-сама."
phrase226,どーいたしまして。,"You're welcome.","Пожалуйста."
phrase227,キースはふいっとマリアから離れそっぽを向いた。,"Keith turned away from Maria again.","Кит снова отвернулся от Марии."
phrase228,けれどその横顔は、照れ臭いのか,"But his profile, slightly flushed,","Но его лицо, слегка покрасневшее,"
phrase229,少しだけ赤く染まっていた。,"was tinged with embarrassment.","смущённо порозовело."
phrase230,もうすぐ卒業式だ。,"Graduation day is approaching.","Скоро выпускной."
phrase231,学園内は慌ただしい雰囲気が漂っていた。,"The academy was buzzing with activity.","Академия была полна суеты."
phrase232,ふぅ……。,"Phew...","Фух..."
phrase233,マリアは最近、生徒会の仕事で,"Recently, Maria had been busy with student council work.","В последнее время Мария была занята работой в студенческом совете."
phrase234,忙しい日々を送っていた。,"",""
phrase235,今は休憩中だ。,"Now she was on a break.","Сейчас у неё был перерыв."
phrase236,気分転換に廊下から庭園を眺める。,"She gazed out at the garden from the hallway to clear her mind.","Она посмотрела на сад из коридора, чтобы немного отвлечься."
phrase237,……と、その時だ。,"...And then, at that moment.","...И в этот момент."
phrase238,……。,"...","..."
phrase239,キース様……？,"Lord Keith...?","Кит-сама...?"
phrase240,見えたのは、庭園の方へ,"She saw Keith walking toward the garden.","Она увидела, как Кит направляется в сад."
phrase241,ふらっと歩いていくキースの姿。,"",""
phrase242,（そういえば最近は忙しくて……,,"(Come to think of it, I've been so busy lately...","(В последнее время я была так занята..."
phrase243,キース様とお話しできてなかったな）,,"I haven't had a chance to talk to Lord Keith.)","что не могла даже поговорить с Китом...)"
phrase244,久々に彼と会話をしたくて,"Wanting to talk to him after so long,","Захотев с ним поговорить после столь долгого времени,"
phrase245,マリアは彼を追って庭園へ向かった。,"Maria followed him to the garden.","Мария последовала за ним в сад."
phrase246,（えへへ……,,"(Hehe...","(Хе-хе..."
phrase247,ちょっとイタズラしちゃおうかな）,,"Maybe I'll play a little prank on him.)","Может, разыграю его немножко.)"
phrase248,こっそり彼の後ろに近づいて,"She quietly approached him from behind,","Она тихо приблизилась к нему сзади"
phrase249,ワッ！　と驚かせてみようか。,"thinking she'd surprise him with a 'Boo!'","и решила его испугать криком «Буу!»."
phrase250,マリアはそんなことを考える。,"Maria thought of this plan.","Мария задумала это."
phrase251,どうやらキースは花垣の,"It seemed Keith was on the other side of the flower bushes.","Казалось, Кит был по другую сторону цветочных кустов."
phrase252,向こう側にいるようだ。,"",""
phrase253,と、何やらボソボソと,"Then, she heard Keith muttering","И тут она услышала, как Кит что-то бормочет"
phrase254,キースが喋っている声が聞こえてきた。,"something quietly.","себе под нос."
phrase255,僕と結婚してくれ。,"Please marry me.","Пожалуйста, выйди за меня."
phrase256,……うーん、安直すぎるかなぁ。,"...Hmm, too simple?","...Мм, слишком просто?"
phrase257,僕と同じ墓に入ってくれ。,"Join me in the same grave.","Покойся со мной в одном гробу."
phrase258,……重すぎ？　引かれそう……。,"...Too heavy? She'll probably run away...","...Слишком мрачно? Наверное, отпугну её..."
phrase259,君は僕の麗しき一番星……。,"You're my beautiful first star...","Ты моя прекрасная первая звезда..."
phrase260,うわーキザすぎ。ないない。,"Ugh, too cheesy. No way.","Фу, слишком слащаво. Точно нет."
phrase261,それは紛れもなくプロポーズの言葉。,"Those were unmistakably proposal words.","Это явно были слова предложения."
phrase262,どうやらキースは,"It seemed Keith was","Похоже, Кит"
phrase263,告白の練習をしているようであった。,"practicing a confession.","репетировал признание."
phrase264,思わぬ場面に遭遇してしまい,"Having witnessed something unexpected,","Став свидетелем чего-то неожиданного,"
phrase265,マリアは後ずさろうとして……,"Maria tried to quietly back away, but...","Мария попыталась тихо отступить, но..."
phrase266,（パキッ！）,,"(Snap!)","(Хруст!)"
phrase267,小さな枝を踏んでしまう。,"She stepped on a small branch.","Она наступила на маленькую ветку."
phrase268,だ、誰かいるの!?,"I-is someone there!?","К-кто здесь!?"
phrase269,キースが明らかに慌てた声を出して花垣をのぞきこむ。,"Keith's voice was clearly flustered as he peeked through the bushes.","Голос Кита звучал явно обеспокоенно, когда он заглянул через кусты."
phrase270,そして、そこにいるマリアの姿に,"And when he saw Maria there,","И когда он увидел Марию,"
phrase271,さらに上ずった声を出した。,"his voice grew even higher.","его голос стал ещё выше."
phrase272,な、なっ!?　マリア!?,,"W-what!? Maria!?","Ч-что!? Мария!?"
phrase273,キースの顔が真っ赤になる。,"Keith's face turned bright red.","Лицо Кита залилось румянцем."
phrase274,彼のそんな顔を見るのは初めてだった。,"Maria had never seen him look like this before.","Мария никогда прежде не видела его таким."
phrase275,あ、あのっ、ごめんなさい！,"Um, sorry!","Эм, простите!"
phrase276,今見たことは忘れますからっ！,"I'll forget what I just saw!","Я забуду, что только что увидела!"
phrase277,マリアは早口でまくしたてた。,"Maria hurriedly spoke.","Мария быстро заговорила."
phrase278,だが――,"But—","Но—"
phrase279,チクリ。心に痛みを感じていた。,"A prick of pain stabbed her heart.","Её сердце вдруг кольнула боль."
phrase280,（キース様、想い人がいるんだ……）,,"(Lord Keith... has someone he loves...)","(Кит-сама... влюблён в кого-то...)"
phrase281,一瞬だけ、気まずい沈黙が流れる。,"An awkward silence hung in the air for a moment.","На мгновение повисло неловкое молчание."
phrase282,マリアはうつむき、そそくさと,"Maria looked down and quickly","Мария опустила голову и поспешила"
phrase283,その場から立ち去ろうとした。,"tried to leave.","покинуть это место."
phrase284,けれど。,,"But.","Но."
phrase285,待って。,"Wait.","Подожди."
phrase286,マリアの手をキースが掴む。,"Keith grabbed Maria's hand.","Кит схватил Марию за руку."
phrase287,あ、あのさぁ……,"L-listen...","С-слушай..."
phrase288,何かカンチガイしているみたいだから,"It seems like you've misunderstood something, so","Кажется, ты кое-что неправильно поняла, так что"
phrase289,言っておくけど……。,,"I'll just say it...","я просто скажу это..."
phrase290,ああもう、やぶれかぶれだ。,,"Ah, to hell with it.","Ах, чёрт с ним."
phrase291,今のは全部、君のせいなんだからね！,"All of that was because of you!","Это всё было из-за тебя!"
phrase292,え……？,"Huh...?","Что...?"
phrase293,マリアはポカンとしてキースの目を見る。,"Maria stared blankly at Keith.","Мария ошеломлённо посмотрела на Кита."
phrase294,キースは恥ずかしそうに顔を背けた。,"Keith turned his face away, embarrassed.","Кит смущённо отвернулся."
