key,jp,en,ru
phrase35,はしたない姿を,"For showing such improper behavior,","За этот неподобающий поступок,"
phrase36,お見せしてしまって……！,"...to Your Highness!","...перед вашим высочеством!"
phrase37,そんな服で木に登ろうと,"Trying to climb a tree","Лезть на дерево"
phrase38,していたのですか？,"in those clothes?","в таком наряде?"
phrase39,お転婆な方ですね。,"You're quite the tomboy.","Какая вы сорванка."
phrase40,そ、その……。,"W-well...","Э-э..."
phrase41,なんて答えよう？,"What should I say?","Что мне сказать?"
text42,正直に話す,"Tell the truth","Сказать правду"
text43,ごまかす,"Make an excuse","Отговориться"
phrase44,高い所から周りを見ようと……。,"I thought I could see better from up high...","Я думала, сверху будет лучше видно..."
phrase45,道を確かめたくて……。,"I just wanted to find my way...","Я просто хотела понять, где нахожусь..."
phrase46,なるほど。,"I see.","Понятно."
phrase47,つまり迷子になっていた、と。,"So, you were lost, huh?","То есть ты заблудилась?"
phrase48,笑顔のまま図星をつかれて,"He said it with a smile, hitting the mark,","Сказав это с улыбкой, он попал в точку,"
phrase49,マリアは「うう……」と,"causing Maria to mutter, 'Ugh...'","и Мария только пробормотала: «Уу...»"
phrase50,言いよどむしかない。,"and struggle to find words.","ей нечего было сказать."
phrase51,そんなマリアの様子に,"Seeing Maria like this,","Видя её смущение,"
phrase52,ジオルドはくつくつと笑った。,"Geordo chuckled softly.","Джордо тихо усмехнулся."
phrase53,おかしそうに笑うその姿すら,"Even the way he laughed","Даже то, как он смеялся,"
phrase54,あまりにも優雅だ。,"was incredibly graceful.","было невероятно элегантно."
phrase55,だが、今のマリアにとっては……。,"But to Maria right now...","Но для Марии в этот момент..."
phrase56,王子に笑われてしまった――。,"being laughed at by the prince was...","то, что над ней смеялся принц..."
phrase57,恥ずかしさに、マリアは,"Too embarrassed, Maria","Смущённая до предела,"
phrase58,熱くなった顔を下に向ける。,"looked down, her face burning.","она опустила лицо, пылающее от стыда."
phrase59,しかし。,"But...","Однако."
phrase60,次に発せられたジオルドの声音は,"The next words from Geordo","Следующие слова Джордо"
phrase61,とても優しく紳士的なものだった。,"were gentle and gentlemanly.","были мягкими и вежливыми."
phrase62,（迷子になっていた、なんて,"(If I admit I was lost,","(Если я признаюсь, что заблудилась,"
phrase63,正直に話しても笑われてしまう……）,"he'll laugh again...","он снова засмеётся...)"
phrase64,そ、その、なんでもないんです。,"I-it's nothing, really.","Э-это... ничего особенного."
phrase65,お気になさらないでください……！,"Please, don't worry about it...!","Пожалуйста, не беспокойтесь...!"
phrase66,なんでもない、なんて言われたら,"When you say 'nothing,'","Когда говоришь «ничего»,"
phrase67,余計に気になってしまいますね。,"it only makes me more curious.","это только вызывает больше вопросов."
phrase68,ジオルドが小首を傾げる。,"Geordo tilted his head slightly.","Джордо слегка склонил голову."
phrase69,そんな仕草すら優美だけれど,"Even that gesture was graceful, but","Даже этот жест был элегантным, но"
phrase70,マリアにとっては、王子に「滑稽な女」と思われた気がして,"Maria felt the prince thought she was ridiculous.","Марии казалось, что принц счёл её нелепой."
phrase71,真っ赤な顔を下に向けるしかない。,"and she could only look down, her face flushed.","и ей оставалось только опустить покрасневшее лицо."
phrase72,ああ、そんな顔をなさらないで。,"Ah, don't look so sad.","Ах, не делай такое лицо."
phrase73,意地悪をするつもりはありません。,"I don't mean to be cruel.","Я не хотел быть жестоким."
phrase74,ジオルドの声音はとても優しく,"Geordo's voice was very gentle,","Голос Джордо был очень мягким,"
phrase75,紳士的なものだった。,"and full of chivalry.","и полон учтивости."
phrase76,道に迷っておられたのですね？,"So, you were lost, weren't you?","Так, ты заблудилась, да?"
phrase77,……はい……。,"...Yes...","...Да..."
phrase78,では、寮までお送りしましょう。,"Then let me escort you back.","Тогда позволь мне проводить тебя."
phrase79,こちらへ、とジオルドは歩き出す。,"This way, said Geordo, starting to walk.","«Сюда», — сказал Джордо и начал идти."
phrase80,マリアは驚くが、第三王子の厚意を,"Maria was surprised, but she couldn't possibly refuse","Мария удивилась, но не могла отказаться от"
phrase81,無下にすることなどできるはずもない。,"the kindness of the third prince.","предложенной доброты третьего принца."
phrase82,あ、ありがとうございます……！,"Th-thank you so much...!","С-с-пасибо вам большое!"
phrase83,優しい人なのかもしれない。,"He might really be kind.","Может, он и правда добрый."
phrase84,マリアはそう思いながら,"Maria thought as she","Подумав так, Мария"
phrase85,ジオルドについていくのであった。,"followed Geordo.","пошла за Джордо."
phrase86,――なんてこともあったなぁ。,"—That sure happened, didn't it?","—Вот что произошло тогда."
phrase87,ジオルドとの出会いを思い出し,"Remembering her first meeting with Geordo,","Вспоминая свою встречу с Джордо,"
phrase88,マリアは小さく笑った。,"Maria smiled softly.","Мария тихо улыбнулась."
phrase89,あれからちゃんと学園の構内のことも覚え、,"Since then, she learned the academy's layout,","С тех пор она запомнила план академии,"
phrase90,あの時のように迷子になることは,"and no longer got lost like back then.","и больше не терялась, как тогда."
phrase91,なくなった。,"",""
phrase92,生徒会室へは,"To the student council room,","До студенческого совета"
phrase93,こっちが近道なんだよね。,"this is the shortcut, right?","здесь короткий путь, верно?"
phrase94,……みんな、喜んでくれるかなぁ？,"...Will everyone like them?","...Интересно, всем понравится?"
phrase95,マリアの手には、手作りマフィンが,"Maria held a basket","В руках Марии была корзинка,"
phrase96,つめられたバスケット。,"filled with homemade muffins.","полная домашних маффинов."
phrase97,みんなの喜ぶ顔を想像すると、,"Imagining their happy faces,","Представив их радостные лица,"
phrase98,マリアの足取りも軽かった。,"Maria felt lighter on her feet.","Мария пошла легче."
phrase99,――だが。,"—But.","—Но."
name100,カタリナ,"Katarina","Катарина"
phrase101,マリアさん、どちらへ？,"Maria, where are you going?","Мария, куда ты идёшь?"
phrase102,あっ……。,"Ah...","Ах..."
phrase103,敵意と悪意のこもった声が,"A voice full of hostility and malice","Голос, полный враждебности и злобы,"
phrase104,マリアを呼び止める。,"called out to Maria.","остановил Марию."
phrase105,気づけば、マリアは数人の令嬢に,"Before she realized, Maria was surrounded","Не успев опомниться, Мария оказалась окружена"
phrase106,囲まれていた。,"by several noble girls.","несколькими аристократками."
phrase107,彼女たちを率いているのは,"Leading them was","Во главе их стояла"
phrase108,カタリナ・クラエス公爵令嬢。,"Lady Katarina Claes, daughter of a duke.","леди Катарина Клаес, дочь герцога."
phrase109,ジオルドの婚約者である。,"She was Geordo's fiancée.","Она была невестой Джордо."
phrase110,マリアが何か言おうとする前に,"Before Maria could say anything,","Прежде чем Мария успела что-то сказать,"
phrase111,カタリナはマリアへつかつかと,"Katarina strode up to Maria","Катарина решительно подошла к Марии"
phrase112,近づくと、片手を振り上げて――,"and raised her hand—","и подняла руку—"
phrase113,――バシン！,"—Smack!","—Шлёп!"
phrase114,バスケットを地面へと叩き落とした。,"She knocked the basket to the ground.","Она сбила корзинку на землю."
phrase115,甘い香りの菓子が,"The sweet-smelling pastries","Пирожные с приятным запахом"
phrase116,地面に転がり出てしまう。,"spilled out onto the ground.","выкатились на землю."
phrase117,光の魔力を持っているというだけで,"Just because you have Light Magic,","Только потому, что у тебя есть магия света,"
phrase118,チヤホヤされて,"you think you're so special","ты думаешь, что тебе будут льстить,"
phrase119,いい気になってるんじゃないわよ！,"and that everyone will praise you!","и что все будут тебя превозносить!"
phrase120,カタリナは眉を吊り上げて,"Katarina raised her eyebrows","Катарина нахмурила брови"
phrase121,大声でまくしたてると、忌々しげに,"and, shouting angrily,","и, выкрикивая злые слова,"
phrase122,落ちたマフィンを睨みつけた。,"glared at the fallen muffins.","злобно посмотрела на упавшие маффины."
phrase123,こんな平民が作った貧相なものを,"You think this pathetic food made by a commoner","Ты думаешь, что это жалкое угощение, сделанное простолюдинкой,"
phrase124,生徒会の方々に食べさせようなんて,"is fit for the student council?","подходит для студенческого совета?"
phrase125,不相応にも程があるわ！,"How ridiculous!","Как это нелепо!"
phrase126,カタリナが足を上げる。,"Katarina lifted her foot.","Катарина подняла ногу."
phrase127,マフィンを踏み潰すつもりなのだ。,"She was about to crush the muffins.","Она собиралась раздавить маффины."
phrase128,やめて―,"Stop—","Прекрати—"
phrase129,マリアが手を伸ばそうとした,"Maria reached out her hand","Мария попыталась протянуть руку,"
phrase130,その時だ。,"but just then...","но в этот момент..."
phrase131,やめなさい！,"Stop that!","Прекрати!"
phrase132,ジ……ジオルド様!?,"P-Prince Geordo!?","Д-Джордо-сама!?"
phrase133,この僕の目の前で,"In front of me,","На моих глазах"
phrase134,秩序を乱すような行為を,"you dare disrupt order?","ты посмела нарушить порядок?"
phrase135,見過ごすわけにはいきません。,"I won't allow it.","Я не допущу этого."
phrase136,くっ……！,"Tch...!","Чёрт...!"
phrase137,しかし、ジオルド様――,"But, Prince Geordo—","Но, Джордо-сама—"
phrase138,カタリナ。あなたはもっと,"Katarina, I thought you were smarter than this...","Катарина, я думал, что ты умнее..."
phrase139,賢い人間だと思っていたのですが……。,"",""
phrase140,よもやこの僕に,"You aren't seriously expecting","Ты ведь не ждёшь,"
phrase141,二度も説明を要求するつもりですか？,"me to explain this twice?","что мне придётся объяснять это дважды?"
phrase142,そうであれば、おもしろい冗談ですね。,"If so, what a funny joke.","Если да, то это просто шутка."
phrase143,うぐぐぅっ……！,"Grrrr...!","Угхх...!"
phrase144,ジオルドの冷徹な態度に,"Faced with Geordo's cold demeanor,","Перед холодным тоном Джордо"
phrase145,さすがのカタリナも反論ができない。,"even Katarina couldn't argue back.","даже Катарина не могла ничего возразить."
phrase146,カタリナは真っ赤な顔で,"Her face red, Katarina","Её лицо было красным от злости,"
phrase147,マリアを睨むと、取り巻きの令嬢と共に,"glared at Maria and, with her entourage,","и, злобно глянув на Марию,"
phrase148,そそくさとその場を後にした。,"quickly left the scene.","быстро покинула место вместе со свитой."
phrase149,あ、あの、ジオルド様……。,"Um, Prince Geordo...","Э-это... Джордо-сама..."
phrase150,迷惑をかけてしまったことへの謝罪,"Should she apologize for causing trouble,","Стоит ли извиниться за неудобства"
phrase151,助けてくれたことへの感謝,"or thank him for helping her?","или поблагодарить его за помощь?"
phrase152,どちらを口にすべきか迷うマリア。,"Maria wasn't sure which to say.","Мария не знала, что сказать."
phrase153,一方でジオルドは、おもむろに,"Meanwhile, Geordo","Тем временем Джордо"
phrase154,落ちていたマフィンを拾い上げると,"calmly picked up one of the muffins","спокойно поднял один из упавших маффинов"
phrase155,なんのためらいもなく、それを一口ほおばった。,"and, without hesitation, took a bite.","и, не колеблясь, откусил."
phrase156,え――!?,"Eh—!?","Ч-что—!?"
phrase157,うん。,"Mmm.","Мм."
phrase158,とってもおいしいですね。,"It's really delicious.","Очень вкусно."
phrase159,まるで一斉に花が咲くような。,"It's like flowers blooming all at once.","Словно цветы распустились одновременно."
phrase160,そんな優しい笑みを,"With a gentle smile like that,","С такой нежной улыбкой"
phrase161,ジオルドはマリアへと向けていた。,"Geordo smiled at Maria.","Джордо улыбался Марии."
phrase162,――ドキン、と。,"—Thump.","—Тук-тук."
phrase163,その時、マリアの心に熱が灯った……。,"At that moment, Maria's heart was set aflame...","В этот момент в сердце Марии вспыхнул огонь..."
phrase164,/*,/*,/*
phrase165,一年の終わりが近づく。,"The end of the year was approaching.","Приближался конец года."
phrase166,マリアは登った木の上から,"Maria sat atop a tree,","Мария сидела на дереве"
phrase167,学園の風景を眺めていた。,"looking out at the academy.","и смотрела на академию."
phrase168,この一年,"This past year...","Этот год..."
phrase169,いろんなことがあったなぁ……。,"So much has happened...","Так много всего произошло..."
phrase170,ジオルド様と出会ったのはここだっけ。,"I met Prince Geordo here, didn't I?","Я встретила Джордо-сама здесь, да?"
phrase171,彼にはいっぱいお世話になったなぁ…。,"He's done so much for me...","Он так много для меня сделал..."
phrase172,そういえば,"Now that I think about it,","Кстати,"
phrase173,いつも思い出にジオルドがいる。,"Geordo is always in my memories.","Джордо всегда в моих воспоминаниях."
phrase174,あの優しい笑顔を思い出すと,"When I remember his kind smile,","Вспоминая его добрую улыбку,"
phrase175,マリアはつい顔が火照るのを感じた。,"Maria couldn't help but feel her face grow warm.","Мария почувствовала, как её лицо начинает гореть."
phrase176,……マリア。,"...Maria.","...Мария."
phrase177,彼の声で名前を呼ばれたのはその時だ。,"It was then that she heard her name being called.","В этот момент она услышала, как её позвали."
phrase178,木の下にジオルドがいる。,"Geordo was standing beneath the tree.","Под деревом стоял Джордо."
phrase179,あなたはいつになっても,"You are always as free as a butterfly,","Ты всегда так свободна, словно бабочка,"
phrase180,蝶のように奔放ですね。,"aren't you?","не так ли?"
phrase181,あ。,"Ah.","Ах."
phrase182,くすくすとジオルドが笑う。,"Geordo chuckled softly.","Джордо тихо хихикнул."
phrase183,からかわれたような心地に,"Feeling like she was being teased,","Чувствуя себя дразнимой,"
phrase184,マリアは慌てて言い繕おうとした。,"Maria quickly tried to say something.","Мария поспешила что-то сказать."
phrase185,だがマリアより先に,"But before Maria could speak,","Но прежде чем Мария успела что-то сказать,"
phrase186,ジオルドが笑顔のまま口を開く。,"Geordo spoke, still smiling.","Джордо заговорил, всё ещё улыбаясь."
phrase187,マリア、降りておいで。,"Maria, come down.","Мария, спускайся."
phrase188,両手を広げるジオルド。,"Geordo spread his arms wide.","Джордо широко раскинул руки."
phrase189,受け止めてあげるから。,"I'll catch you.","Я тебя поймаю."
phrase190,そう言われ、マリアはうろたえた。,"Hearing this, Maria panicked.","Услышав это, Мария растерялась."
phrase191,で、でも――,"B-but—","Н-но—"
phrase192,大丈夫。,"It's okay.","Всё в порядке."
phrase193,……それとも、僕では不安ですか？,"...Or do you not trust me?","...Или ты мне не доверяешь?"
phrase194,いえ、そんな……！,"No, it's not that...!","Нет, вовсе нет...!"
phrase195,じゃあ、ほら。,"Then come on.","Тогда давай."
phrase196,ジオルドはニコニコしたまま,"Geordo kept smiling as he","Джордо продолжал улыбаться,"
phrase197,マリアを見上げている。,"looked up at Maria.","глядя на Марию."
phrase198,どうしよう？,"What should I do?","Что мне делать?"
text199,跳ぶ,"Jump","Прыгнуть"
text200,ためらう,"Hesitate","Заколебаться"
text201,跳ぶ,"Jump","Прыгнуть"
text202,ためらう,"Hesitate","Заколебаться"
phrase203,あの笑顔は拒否を許さぬものだと,"That smile was one Maria knew she couldn't refuse.","Мария знала, что не сможет отказаться от такой улыбки."
phrase204,マリアは既に知っていた。,"",""
phrase205,っ……。,"...","..."
phrase206,ジオルドの眼差しを感じて,"Feeling Geordo's gaze,","Чувствуя взгляд Джордо,"
phrase207,マリアは火照る顔を,"Maria turned her flushed face away.","Мария отвела пылающее лицо."
phrase208,ついそらしてしまう。,"",""
phrase209,（ジオルド様が……,"(Prince Geordo...","(Джордо-сама..."
phrase210,私を、待ってる……）,"is waiting for me...)","ждёт меня...)"
phrase211,照れ臭さを堪えて意を決し、,"Gathering her courage despite her embarrassment,","Собрав свою смелость, несмотря на смущение,"
phrase212,マリアはジオルドの方へと跳んだ。,"Maria jumped towards Geordo.","Мария прыгнула к Джордо."
phrase213,――ふわり。,"—Fwoosh.","—Шуух."
phrase214,彼の両腕が優しくマリアを抱き留める。,"His arms gently caught her.","Его руки нежно поймали её."
phrase215,つかまえた。,"Got you.","Поймал."
phrase216,ジオルドの囁きがマリアの耳を,"Geordo's whisper tickled Maria's ear","Шёпот Джордо ласкал ухо Марии"
phrase217,甘くくすぐり、温かく力強い男の腕が,"sweetly, while his warm and strong arms","и его тёплые, сильные руки"
phrase218,しっかりとマリアをとらえた。,"held her firmly.","надёжно держали её."
phrase219,……ふ。,"...Heh.","...Хех."
phrase220,素直で……いい子ですね。,"You're so honest... and such a good girl.","Ты такая честная... и хорошая девушка."
phrase221,ジオルドの指が、マリアの頬を,"Geordo's finger gently stroked Maria's cheek","Палец Джордо нежно погладил щёку Марии"
phrase222,褒めるように撫でる……。,"as if praising her...","будто хваля её..."
phrase223,あ、危ないですよ？,"I-it's dangerous, you know?","Э-это опасно, знаете ли?"
phrase224,ジオルド様に何かあったら……。,"What if something had happened to you...?","А если бы с вами что-то случилось?"
phrase225,そんな風に言い訳をするものの、,"Maria made such an excuse, but in reality,","Мария попыталась оправдаться, но на самом деле"
phrase226,実際のところマリアは,"the truth was,","правда была в том,"
phrase227,恥ずかしいだけなのだ。,"she was just embarrassed.","что она просто смутилась."
phrase228,――ジオルドには、そんなことなど,"Of course, Geordo knew that all too well.","Конечно, Джордо прекрасно это знал."
phrase229,お見通しのようである。,"",""
phrase230,おや。,"Oh?","Ох?"
phrase231,僕がそんなに頼りなく見えますか？,"Do I look that unreliable to you?","Я кажусь тебе таким ненадёжным?"
phrase232,これはこれは……心外だ。,"How surprising... That hurts my feelings.","Как неожиданно... Мне даже обидно."
phrase233,わざとらしい仕草で,"Geordo sighed dramatically,","Джордо нарочито вздохнул"
phrase234,ジオルドは溜息を吐いてみせる。,"",""
phrase235,もちろんその表情は、笑顔だった。,"Of course, he was still smiling.","Конечно, он всё ещё улыбался."
phrase236,（うう……ずるい……）,"(Ugh... That's not fair...)","(Ухх... Это нечестно...)"
phrase237,こうなったら従う他にない。,"At this point, Maria had no choice but to follow.","Теперь у Марии не оставалось выбора, кроме как подчиниться."
phrase238,マリアはジオルドの方へと跳んだ。,"Maria jumped towards Geordo.","Мария прыгнула к Джордо."
phrase239,――ふわり。,"—Fwoosh.","—Шуух."
phrase240,彼の両腕が優しくマリアを抱き留める。,"His arms gently caught her.","Его руки нежно поймали её."
phrase241,つかまえた。,"Got you.","Поймал."
phrase242,ジオルドの囁きがマリアの耳を,"Geordo's whisper tickled Maria's ear","Шёпот Джордо нежно задел ухо Марии"
phrase243,甘くくすぐり、温かく力強い男の腕が,"sweetly, while his warm and strong arms","и его тёплые, сильные руки"
phrase244,しっかりとマリアをとらえた。,"held her firmly.","надёжно держали её."
phrase245,あなたに伝えたいことがあります。,"There's something I want to tell you.","Я хочу сказать тебе кое-что."
phrase246,明日の夕方、聖堂へ。,"Tomorrow evening, meet me at the chapel.","Завтра вечером, встретимся в часовне."
phrase247,そう言い終わると,"With that, Geordo finished speaking","С этими словами Джордо закончил"
phrase248,ジオルドはマリアを解放した。,"and let go of Maria.","и отпустил Марию."
phrase249,待っていますよ。,"I'll be waiting.","Я буду ждать тебя."
phrase250,笑顔でそう言って,"He said with a smile,","Сказал он с улыбкой,"
phrase251,ジオルドは外套をひるがえし、,"as he turned on his heel and gracefully","когда он повернулся на каблуках и элегантно"
phrase252,きびすを返した。,"walked away, cloak billowing behind him.","ушёл, его плащ колыхался за ним."
phrase253,ジオルドの言いつけどおり,"As Geordo instructed,","Как сказал Джордо,"
phrase254,マリアは夕暮れの中を,"Maria walked through the twilight","Мария шла сквозь вечерние сумерки,"
phrase255,聖堂を目指して歩いていた。,"heading towards the chapel.","направляясь к часовне."
phrase256,ひそ、ひそ……。,"Whisper, whisper...","Шёпот, шёпот..."
phrase257,マリアの耳に、,"In Maria's ears,","До ушей Марии"
phrase258,令嬢たちの噂話が届く。,"came the gossip of noble girls.","долетел шёпот благородных девиц."
name259,令嬢1,"Noblewoman 1","Девица 1"
phrase260,聞きまして？,"Did you hear?","Ты слышала?"
phrase261,カタリナ様、国外追放になられたとか。,"Lady Katarina has been exiled from the kingdom.","Леди Катарину сослали за пределы королевства."
name262,令嬢2,"Noblewoman 2","Девица 2"
phrase263,まあ……。,"Oh my...","О боже..."
phrase264,では、ジオルド様はどうなるの？,"Then what about Prince Geordo?","А что будет с Джордо-сама?"
phrase265,それが、平民に気があるとか……。,"Rumor has it, he's interested in a commoner...","Говорят, он интересуется простолюдинкой..."
name266,令嬢3,"Noblewoman 3","Девица 3"
phrase267,カタリナ様の追放も,"Katarina's exile was probably","Ссылка Катарины"
phrase268,その平民女が仕組んだことでは……。,"that commoner's doing, wasn't it...?","дело рук этой простолюдинки..."
phrase269,まさか、ジオルド様はその平民女に,"Could it be that Prince Geordo","Неужели Джордо-сама"
phrase270,たぶらかされているのではなくて？,"is being seduced by that common girl?","соблазнён этой простолюдинкой?"
phrase271,おとなしそうな顔をして,"She may look innocent, but","У неё невинное лицо, но"
phrase272,とんだ毒婦ですこと。,"she's quite the wicked woman.","она настоящая злодейка."
phrase273,ジオルド様が心配ですわ……。,"I'm so worried about Prince Geordo...","Меня беспокоит Джордо-сама..."
phrase274,あの女のせいでジオルド様の,"If that woman damages Prince Geordo's reputation,","Если эта женщина испортит репутацию Джордо-сама,"
phrase275,評価が落ちるようなことがあったら。,"he'll never recover.","он больше не оправится."
phrase276,ふん、あんな女を選ぶなんて、私、,"Hmph, choosing a woman like that? I am","Хм, выбрать такую женщину?"
phrase277,ジオルド様には失望しましたわ！,"so disappointed in Prince Geordo!","Я так разочарована в Джордо-сама!"
phrase278,次期国王の候補としての,"Doesn't he realize what that means","Он не понимает,"
phrase279,ご自覚が足らないのではなくて？,"for a future king?","что это значит для будущего короля?"
phrase280,まるで自ら破滅を,"It's as if he's choosing his own ruin.","Он будто выбирает свою погибель."
phrase281,お選びになっているみたいですもの。,"",""
phrase282,シッ、例の平民女よ……。,"Shh, that's the commoner girl...","Тсс, это та самая простолюдинка..."
phrase283,変に近寄ると,"If we get too close,","Если подойдём ближе,"
phrase284,私たちにも何かあるかも……。,"we might get dragged into it...","нас тоже могут втянуть..."
phrase285,ありもしない黒い噂。,"Baseless black rumors.","Неправдивые злые слухи."
phrase286,悪意のトゲがマリアの心を,"The thorns of malice pricked at Maria's heart.","Шипы злобы пронзили сердце Марии."
phrase287,チクチクと刺す。,"",""
phrase288,……っ。,"...Ugh.","...Ах."
phrase289,マリアはグッと唇を噛んで耐える。,"Maria bit her lip and held it in.","Мария сжала губы и молча терпела."
phrase290,――悔しい。,"—It hurt.","—Это было больно."
phrase291,自分が貶されていることよりも,"More than being insulted herself,","Не столько оскорбления в её адрес,"
phrase292,大切な人が、自分のせいで,"the fact that someone dear to her","сколько то, что из-за неё"
phrase293,悪く言われていること。,"was being spoken ill of because of her.","злословят о дорогом ей человеке."
phrase294,それがマリアには悔しくて,"That hurt Maria the most,","Это было больнее всего для Марии,"
phrase295,たまらなかった。,"and she couldn't bear it.","и она не могла это вынести."
phrase296,同時に、ジオルドへ申し訳ない,"At the same time,","В то же время"
phrase297,気持ちが湧いてくる。,"she felt guilty towards Geordo.","она почувствовала вину перед Джордо."
phrase298,マリアは嫌な噂と嫌な気持ちを,"Maria, trying to shake off the rumors and her feelings,","Мария, пытаясь избавиться от слухов и чувств,"
phrase299,振り払うように,"hurried her pace.","поспешила прочь."
phrase300,足早にその場を通り過ぎた。,"",""
phrase301,マリアが聖堂のドアを開けると,"When Maria opened the chapel doors,","Когда Мария открыла двери часовни,"
phrase302,すでにジオルドがそこにいた。,"Geordo was already there.","Джордо уже был там."
phrase303,夕暮れの光が,"The evening light","Свет вечерних сумерек"
phrase304,ステンドグラスから紅色に射し込み,"shone red through the stained glass,","падал через алые витражи,"
phrase305,ジオルドを神秘的に照らしている。,"illuminating Geordo in a mystical light.","освещая Джордо мистическим светом."
phrase306,綺麗――。,"So beautiful—","Как красиво—"
phrase307,まるでこの世ならざる風景に,"It was like something not of this world.","Это было похоже на что-то не из этого мира."
phrase308,マリアは、ほうっと溜息をついた。,"Maria let out a soft sigh.","Мария тихо вздохнула."
phrase309,マリア、こちらへ。,"Maria, come here.","Мария, подойди."
phrase310,ジオルドが手招きをする。,"Geordo motioned for her to come.","Джордо поманил её рукой."
phrase311,我に返ったマリアは、彼の隣に並んだ。,"Coming back to her senses, Maria stood beside him.","Придя в себя, Мария встала рядом с ним."
phrase312,ジオルド様、話って――,"Prince Geordo, you wanted to talk—","Джордо-сама, вы хотели что-то сказать—"
phrase313,……あなたのような人は初めてです。,"...I've never met someone like you before.","...Я никогда не встречал никого, как ты."
phrase314,え？,"Huh?","А?"
phrase315,あなたは何もかもが鮮烈で……。,"You're so vivid in everything you do...","Ты яркая во всём, что делаешь..."
phrase316,ずっと代わり映えのないものだと,"I thought my days would always be the same,","Я думал, что мои дни всегда будут одинаковыми,"
phrase317,思っていた日々があなたと出会ってから色がついた。,"but ever since I met you, they've been full of color.","но с тех пор, как я встретил тебя, они наполнились красками."
phrase318,気づけば僕は、ずっとあなたを,"Before I knew it, I was always watching you—","Не успел я заметить, как всегда следил за тобой—"
phrase319,目で追っていた――欲しいと思った。,"I wanted you.","Я хотел тебя."
phrase320,なのに手を伸ばせば蝶のようにするりと逃れていってしまう。,"But every time I reached out, you slipped away like a butterfly.","Но стоило мне протянуть руку, как ты ускользала, словно бабочка."
phrase321,かと思えば、子猫のように,"Then, like a kitten,","А затем, как котёнок,"
phrase322,愛らしくこちらを見つめている……。,"you'd look at me so endearingly...","ты смотрела на меня так мило..."
phrase323,みんな、自分から僕のものに,"Everyone else tries to become mine on their own,","Все другие сами стремятся стать моими,"
phrase324,なろうとするのにね？　ふふ。,"you know? Heh heh.","понимаешь? Хе-хе."
phrase325,……だから今日こそ,"...But today,","...Но сегодня,"
phrase326,君にこう言いたいんです。,"I want to say this to you.","я хочу сказать тебе."
phrase327,ジオルドはマリアの手を取ると,"Geordo took Maria's hand","Джордо взял Марию за руку"
phrase328,王子らしく、片膝をついてみせた。,"and knelt down like a prince.","и встал на колено, как принц."
phrase329,マリア。,"Maria.","Мария."
phrase330,僕だけのお姫様になってください。,"Be my princess and mine alone.","Стань моей принцессой, только моей."
