key,jp,en,ru
phrase24,（どうしよう？）,"(What should I do?)","(Что же мне делать?)"
text25,隠れておこう,"I should hide.","Нужно спрятаться."
text26,そっと出ていこう,"I should quietly leave.","Лучше выйти незаметно."
phrase27,（見つかっちゃったら,"(If he finds me,","(Если он меня увидит,"
phrase28,また何か言われてしまうかも……）,"he might say something harsh again...)","он снова скажет что-то неприятное...)"
phrase29,マリアは本棚の影に身を潜めた。,"Maria hid behind the bookshelf.","Мария спряталась за книжным шкафом."
phrase30,……アランの足音が近づいてくる。,"...Alan's footsteps were approaching.","...Шаги Алана приближались."
phrase31,マリアにとっては、その足音から,"To Maria, those footsteps felt like","Марии казалось, что в этих шагах"
phrase32,彼の不機嫌が伝わってくるようで,"they carried his irritation.","сквозила его раздражённость."
phrase33,バレませんように、と身をすくませる。,"She held her breath, hoping not to be noticed.","Она сжалась, надеясь, что её не заметят."
name34,アラン,"Alan","Алан"
phrase35,……チッ。,"...Tch.","...Черт."
phrase36,本棚を隔ててすれ違うその時,"As they passed on opposite sides of the bookshelf,","Когда они разошлись по разные стороны книжного шкафа,"
phrase37,アランは舌打ちをひとつした。,"Alan clicked his tongue.","Алан недовольно цокнул языком."
phrase38,マリアはびくっと震えるも、幸いにして,"Maria flinched, but thankfully,","Мария вздрогнула, но, к счастью,"
phrase39,アランに見つかっていなかったようだ。,"it seemed Alan hadn't noticed her.","похоже, Алан её не заметил."
phrase40,（アラン様、今日も不機嫌みたい。,"(Prince Alan seems upset again today.","(Алан-сама снова выглядит недовольным."
phrase41,はぁ、見つからなくてよかった……）,"I'm glad he didn't see me...","Фух, как хорошо, что он меня не заметил...)"
phrase42,マリアは安堵の息を吐くと,"Maria sighed in relief,","Мария с облегчением вздохнула,"
phrase43,そのまま本棚に身を隠し,"and continued hiding behind the bookshelf,","и продолжила прятаться за книжным шкафом,"
phrase44,そっと図書室から離脱するのであった。,"quietly slipping out of the library.","тихо выскользнув из библиотеки."
phrase45,（本棚に隠れながら遠回りすれば,"(If I stay hidden behind the bookshelf and take a detour,","(Если я продолжу прятаться за шкафом и пойду в обход,"
phrase46,きっと見つからないよね……）,"I should be able to avoid him...)","он меня точно не заметит...)"
phrase47,マリアは本棚の影に隠れながら,"Maria, hiding behind the bookshelf,","Мария, прячась за книжным шкафом,"
phrase48,図書室の扉を目指す。,"headed for the library door.","направилась к двери библиотеки."
phrase49,遠くからアランの,"From afar, Alan's","Издалека шаги Алана"
phrase50,不機嫌そうな足音が聞こえる。,"irritated footsteps could still be heard.","всё ещё звучали раздражённо."
phrase51,（どうかバレませんように……）,"(Please, don't let him notice me...)","(Пусть он меня не заметит...)"
phrase52,扉はもう目の前。,"The door was right in front of her.","Дверь была прямо перед ней."
phrase53,マリアは音を立てないようにしながら,"Maria opened the door carefully, making no sound.","Мария старалась открыть дверь как можно тише."
phrase54,ゆっくりと扉を開いた。,"She opened the door slowly.","Она медленно открыла дверь."
phrase55,だが、それでも,"But despite her efforts,","Но несмотря на все её старания,"
phrase56,わずかな音が出てしまい――,"a slight noise escaped...","дверь всё же скрипнула..."
phrase57,あ。,"Ah.","Ах."
phrase58,あ。,"Ah.","Ах."
phrase59,アランが振り返ったのと,"As Alan turned around,","В тот момент, когда Алан повернулся,"
phrase60,ちょうどマリアが扉から,"just as Maria was about to step through the door,","как раз когда Мария собиралась выйти за дверь,"
phrase61,出ようとしていたのは同時。,"it happened at the same time.","это произошло одновременно."
phrase62,目が合う二人の声が重なった。,"Their eyes met, and they spoke at the same time.","Их взгляды встретились, и они заговорили одновременно."
phrase63,し、失礼しますっ！,"E-excuse me!","Пр-простите!"
phrase64,マリアはアランから何か言われる前に,"Before Alan could say anything,","Прежде чем Алан успел что-то сказать,"
phrase65,慌てて図書室から脱出するのであった。,"Maria hurried out of the library.","Мария в спешке выбежала из библиотеки."
phrase66,今日も今日とて,"Once again, like every day,","Как и каждый день,"
phrase67,アランと遭遇しないように,"trying to avoid running into Alan,","Мария старалась избегать встреч с Аланом,"
phrase68,こそこそと隠れる日々。,"she kept sneaking around.","и пряталась от него."
phrase69,マリアはキョロキョロしながら,"Maria glanced around nervously","Оглядевшись по сторонам,"
phrase70,中庭を歩いていた。,"as she walked through the courtyard.","Мария направилась к двору."
phrase71,アラン様、この辺りにはいないみたい……。,"It seems Prince Alan isn't around here...","Алан-сама, кажется, здесь нет..."
phrase72,ホッと息を吐く。,"She let out a sigh of relief.","Она облегчённо вздохнула."
phrase73,その時であった。,"It was at that moment.","В этот момент."
phrase74,花垣の向こう側から、バイオリンの,"From beyond the garden hedge, the sound of a violin","Из-за садовой изгороди донеслись звуки скрипки,"
phrase75,美しい旋律が聞こえてくる。,"weaving a beautiful melody.","что сплела прекрасную мелодию."
phrase76,なんて綺麗な音色――。,"What a beautiful sound...","Какой красивый звук..."
phrase77,（誰が演奏しているんだろう？）,"(I wonder who's playing?)","(Интересно, кто играет?)"
phrase78,マリアはそーっと,"Maria quietly","Мария осторожно"
phrase79,花垣から顔をのぞかせた。,"peeked out from behind the hedge.","выглянула из-за изгороди."
phrase80,そこにいたのは……。,"And there she saw...","И кого она увидела..."
phrase81,アラン様……!?,"Prince Alan...?","Алан-сама...!?"
phrase82,――だ、誰だッ!?,"W-who's there!?","К-кто здесь!?"
phrase83,人の気配に,"Sensing someone's presence,","Чувствуя чьё-то присутствие,"
phrase84,演奏を止めたアランが鋭く振り返る。,"Alan stopped playing and sharply turned around.","Алан резко прекратил игру и обернулся."
phrase85,あっ！,"Ah!","Ах!"
phrase86,え、ええと、ごめんなさい……！,"Uh, um, I'm sorry...!","Э-это... простите...!"
phrase87,盗み聞きするつもりはなくて,"I didn't mean to eavesdrop,","Я не хотела подслушивать,"
phrase88,すごく綺麗な音色が聞こえたので……！,"I just heard such a beautiful sound...!","Просто услышала такую красивую мелодию...!"
phrase89,……綺麗な音色？,"...A beautiful sound?","...Красивая мелодия?"
phrase90,アランは顔をしかめた。,"Alan frowned.","Алан нахмурился."
phrase91,まるで忌々しいものを見るように,"As if looking at something unpleasant,","Словно разглядывая что-то раздражающее,"
phrase92,バイオリンに視線を落とす。,"he cast his gaze down at the violin.","он опустил взгляд на скрипку."
phrase93,綺麗なものかよ。,"Beautiful, huh?","Красивая, да?"
phrase94,ジオルドの方がもっと上手いはずだ。,"Geordo is much better than me.","Жиордо намного лучше играет."
phrase95,お前だってそう思ってるんだろ。,"You must think that too, don't you?","Ты ведь тоже так думаешь, да?"
phrase96,そんなことないです！,"That's not true at all!","Это совсем не так!"
phrase97,本当に……素敵な演奏でした。,"It was truly... a wonderful performance.","Это было действительно... прекрасное исполнение."
phrase98,俺はしょせん、二番手以下だ。,"I'm always second place, at best.","Я всегда второй или даже ниже."
phrase99,勉強もバイオリンも、何もかも……。,"Whether it's studies or violin, in everything...","Учёба, скрипка... что угодно..."
phrase100,どれだけ努力したって……。,"No matter how hard I try...","Как бы я ни старался..."
phrase101,追いつけやしないんだ……。,"I'll never catch up...","Я никогда его не догоню..."
phrase102,アランは重く溜息を吐いて背を向けた。,"Alan sighed heavily and turned away.","Алан тяжело вздохнул и отвернулся."
phrase103,アランが抱える悲しい重責を、マリアは察する。,"Maria sensed the heavy burden of sadness Alan carried.","Мария почувствовала тяжесть печали, что нёс Алан."
phrase104,マリアは一歩,"Maria took a step","Мария сделала шаг"
phrase105,アランの背に歩み寄った。,"towards Alan's back.","к спине Алана."
phrase106,アラン様には、アラン様の得意なものや,"Prince Alan, you have your own strengths and","Алан-сама, у вас есть свои сильные стороны,"
phrase107,苦手なものがあるのでしょうから。,"weaknesses, don't you?","и свои слабости, не так ли?"
phrase108,向き不向きがあっても,"It's normal to have things you're good and bad at.","Нормально, что у всех есть свои сильные и слабые стороны."
phrase109,当たり前なのではないでしょうか。,"Isn't that perfectly natural?","Разве это не естественно?"
phrase110,……きっと、全てが完璧な人なんていないんです。,"Surely, there's no such thing as a perfect person.","Ведь идеальных людей не бывает."
phrase111,私も、ジオルド様も、アラン様も……。,"Neither I, nor Prince Geordo, nor you, Prince Alan...","Ни я, ни Жиордо-сама, ни вы, Алан-сама..."
phrase112,誰にだって、何かしらの苦手があって,"Everyone has something they're not good at,","У всех есть что-то, что даётся тяжело,"
phrase113,そして、得意もあるんだと思います。,"and also something they're skilled at.","и что-то, в чём они хороши."
phrase114,だからきっと,"That's why I think,","Поэтому я уверена,"
phrase115,アラン様はアラン様のままでいいんだと,"you should stay just the way you are, Prince Alan.","что Алан-сама должен оставаться собой."
phrase116,私は思いますよ。,"That's what I believe.","Так я думаю."
phrase117,……お前……。,"You...","Ты..."
phrase118,アランが振り返る。,"Alan turned around.","Алан обернулся."
phrase119,まるで叱られた子どものような顔だった。,"His face looked like that of a scolded child.","Его лицо было похоже на лицо провинившегося ребёнка."
phrase120,……本当に、そう思うか？,"...Do you really think that?","...Ты правда так думаешь?"
phrase121,はい、思います。,"Yes, I do.","Да, думаю."
phrase122,……。,"...","..."
phrase123,……そうか。……そうかもな。,"...I see. ...Maybe you're right.","...Понятно. ...Может, ты права."
phrase124,きっとそうです。,"I'm sure of it.","Я в этом уверена."
phrase125,それから、改めて……,"And once again...","И ещё раз..."
phrase126,アラン様の演奏、私は好きですよ！,"I really do like your playing, Prince Alan!","Ваше исполнение мне действительно понравилось, Алан-сама!"
phrase127,とっても素敵でした。,"It was truly wonderful.","Это было действительно прекрасно."
phrase128,また聴かせてほしいです！,"Please let me hear it again!","Пожалуйста, сыграйте ещё раз!"
phrase129,おう。,"Yeah.","Да."
phrase130,…………。,"......","......"
phrase131,……ありがとな。,"...Thank you.","...Спасибо."
phrase132,視線を惑わせ,"Averting his gaze,","Отводя взгляд,"
phrase133,アランはもごもごと呟く。,"Alan mumbled softly.","Алан пробормотал."
phrase134,……俺、酷いこと言ったろ、お前に。,"...I said some harsh things to you, didn't I?","...Я говорил тебе ужасные вещи, не так ли?"
phrase135,八つ当たりしてた。……悪かった。,"I was taking out my frustrations. ...I'm sorry.","Я срывался на тебе... Прости."
phrase136,じゃあ……仲直りしませんか？,"Then... should we make up?","Тогда... давайте помиримся?"
phrase137,仲直りって……どうやって？,"Make up...? How?","Помиримся...? Как?"
phrase138,うーん。,"Hmm.","Хмм."
phrase139,握手、とかですかね？,"How about a handshake?","Может, пожмём друг другу руки?"
phrase140,握手……。,"A handshake...?","Рукопожатие...?"
phrase141,アランは自分の掌を見る。,"Alan looked at his hand.","Алан посмотрел на свою ладонь."
phrase142,それから「ん」とちょっと照れ臭そうに,"Then, a bit shyly, he said 'Hmph'","Затем, немного смутившись, он сказал «Хм»"
phrase143,片手を差し出した。,"and offered his hand.","и протянул руку."
phrase144,マリアはその手を取る。,"Maria took his hand.","Мария взяла его за руку."
phrase145,（大きな手……,"(Such a big hand...","(Такая большая рука..."
phrase146,だけど、子どもみたいな人……）,"But he's just like a child...)","Но он как ребёнок...)"
phrase147,くすっと笑うマリアに、アランは,"As Maria chuckled, Alan","Мария тихонько засмеялась, и Алан"
phrase148,「笑うんじゃない」と恥ずかしそうに,"looked away, embarrassed, saying,","смущённо отвернулся, сказав:"
phrase149,そっぽを向くのであった。,"'Don't laugh.'","«Не смейся»."
phrase150,季節は巡り,"The seasons passed,","Прошли сезоны,"
phrase151,また試験の日がやってきて,"and the day of the exams came again,","и снова настал день экзаменов,"
phrase152,そして、今日やっと終わった。,"and finally, today, it was over.","и наконец, сегодня они закончились."
phrase153,疲れた～……。,"I'm so tired...","Я так устала..."
phrase154,ここ最近は、ずっと勉強漬けだったもの……。,"I've been buried in studies lately...","Я все это время только училась..."
phrase155,あとは試験結果を待つのみだ。,"Now all that's left is to wait for the results.","Теперь осталось только дождаться результатов."
phrase156,解放感はあるが、疲労感も大きい。,"I feel free, but also incredibly tired.","Есть чувство облегчения, но усталость большая."
phrase157,マリアは気分転換のため,"Maria decided to get some fresh air","Чтобы развеяться, Мария решила"
phrase158,中庭へ足をのばしていた。,"and headed to the courtyard.","выйти в сад."
phrase159,……のだが。,"...but,","...но,"
phrase160,お気に入りの木陰には先客がいた。,"someone was already in her favorite spot.","в её любимом месте уже кто-то был."
phrase161,アランが寝転がっていたのだ。,"It was Alan, lying down.","Это был Алан, лежащий под деревом."
phrase162,……。,"...","..."
phrase163,寝てる、のかな……？,"Is he... sleeping?","Он спит...?"
phrase164,（どうしよう？）,"(What should I do?)","(Что же мне делать?)"
text165,寝顔を見守る,"Watch him sleep.","Наблюдать за его спящим лицом."
text166,声をかけてみる,"Try talking to him.","Попробовать заговорить с ним."
phrase167,（アラン様の寝顔なんて,"(Prince Alan's sleeping face...","(Спящее лицо Алана-сама..."
phrase168,なかなか貴重かも……？）,"This is such a rare sight...)","Такое редкое зрелище...)"
phrase169,ちょっとした好奇心から,"Out of curiosity,","Из любопытства"
phrase170,マリアは静かにアランへと近づいて,"Maria quietly approached Alan","Мария осторожно подошла к Алану"
phrase171,その顔をゆっくりと覗き込んだ。,"and slowly looked at his face.","и медленно заглянула ему в лицо."
phrase172,木漏れ日の中、目を閉じた彼の顔は,"In the dappled sunlight, his sleeping face","В пятнах солнечного света его лицо"
phrase173,まるで彫刻と見紛うほどに,"looked as if it had been carved from stone,","было похоже на статую,"
phrase174,凛と整っていた。,"perfectly composed.","очень красивое и спокойное."
phrase175,それでいてどこかあどけなくて,"And yet, there was a certain innocence to it.","Но в нём было что-то детское."
phrase176,愛おしさが込み上げてくる。,"A feeling of tenderness swelled up inside her.","Её переполнило чувство нежности."
phrase177,（……綺麗……）,"(...So beautiful...)","(...Какой красивый...)"
phrase178,マリアはそんな感想を抱くと同時に,"As Maria thought this,","Подумав это,"
phrase179,今、彼のこの顔を見ているのは自分だけなのだ、,"she realized she was the only one seeing him like this right now,","она поняла, что сейчас только она может видеть его таким,"
phrase180,という幸福感で少しだけ頬が緩んだ。,"and a slight smile of happiness crossed her face.","и её лицо осветилось лёгкой улыбкой от этого счастья."
phrase181,ふふ。,"Hehe.","Хех."
phrase182,と、その時だ。,"Just then,","И в этот момент,"
phrase183,アランの目がパチリと開く。,"Alan's eyes suddenly opened.","Глаза Алана неожиданно открылись."
phrase184,……おい。,"...Hey.","...Эй."
phrase185,あ……ごめんなさい。,"Ah... I'm sorry.","Ах... Простите."
phrase186,起こしちゃいました……？,"Did I wake you...?","Я разбудила вас...?"
phrase187,……足音で気づいていた。,"...I heard your footsteps.","...Я услышал твои шаги."
phrase188,起きてらっしゃったのですね……。,"So you were already awake...","Значит, вы уже не спали..."
phrase189,彼の顔を覗き込んで、,"Looking at his face,","Заглядывая ему в лицо,"
phrase190,自分はだらしない顔をして,"she wondered if she had made an awkward face","она подумала, не выглядела ли она глупо,"
phrase191,しまっていたのではないだろうか……。,"while doing it...","глядя на него..."
phrase192,そんな恥ずかしい気持ちに,"Feeling embarrassed,","От этих смущающих мыслей"
phrase193,マリアは頬が熱くなった。,"Maria's cheeks grew warm.","щеки Марии вспыхнули."
phrase194,アランはそんなマリアに対し、,"Alan looked at the blushing Maria,","Алан посмотрел на краснеющую Марию"
phrase195,（寝てるのかな……。,"(Is he sleeping...?","(Он спит...?"
phrase196,起こしちゃうのは悪いかな……）,"It'd be bad to wake him, right?)","Нехорошо будет его разбудить?)"
phrase197,（でも、せっかくだし、アラン様と,"(But still, I'd like to talk to him...","(Но всё-таки, я хотела бы поговорить с ним..."
phrase198,少しだけ、お話ししたいな……）,"even just a little bit...)","хоть немного...)"
phrase199,アラン様ー……？,"Prince Alan...?","Алан-сама...?"
phrase200,少しためらいながら、マリアは,"Hesitantly, Maria","Немного колеблясь, Мария"
phrase201,控えめな声量で呼びかけてみた。,"called out to him quietly.","осторожно позвала его."
phrase202,……。,"...","..."
phrase203,アランからの返事はない。,"There was no response from Alan.","Ответа от Алана не последовало."
phrase204,（やっぱり寝てる……。,"(So he really is asleep...","(Он всё-таки спит..."
phrase205,アラン様も、試験で忙しかったのかな）,"Maybe he's tired from the exams too...)","Наверное, он тоже устал от экзаменов...)"
phrase206,と、その時だ。,"And at that moment,","И в этот момент"
phrase207,アランの目がパチリと開く。,"Alan's eyes suddenly opened.","глаза Алана неожиданно открылись."
phrase208,……おい。,"...Hey.","...Эй."
phrase209,あ……ごめんなさい。,"Ah... I'm sorry.","Ах... Простите."
phrase210,起こしちゃいました……？,"Did I wake you...?","Я разбудила вас...?"
phrase211,呼ぶのは一回だけか？　俺の名前。,"Is calling my name once enough for you?","Ты думаешь, один раз позвать меня достаточно?"
phrase212,えっ――,"Huh—","Что—"
phrase213,（あ、最初から起きて……）,"(Ah, so he was awake the whole time...)","(Ах, так он всё время был не спящим...)"
phrase214,からかうように細められた,"He narrowed his eyes teasingly,","Он прищурился, будто поддразнивая её,"
phrase215,アランの眼差しに捉えられ、,"and caught Maria in his gaze.","и поймал Марию взглядом."
phrase216,マリアは頬が熱くなった。,"Maria's cheeks grew hot.","Щёки Марии вспыхнули."
phrase217,ア……アラン様。,"P-Prince Alan.","А... Алан-сама."
phrase218,おはよう、ござい、ます……。,"G-good morning...","Д-доброе утро..."
phrase219,おう。,"Yeah.","Да."
phrase220,しどろもどろにうつむいたマリアに,"Seeing Maria looking down in embarrassment,","Увидев, как Мария смущённо опустила взгляд,"
phrase221,アランは小さく含み笑った。,"Alan let out a small laugh.","Алан слегка усмехнулся."
phrase222,……こっちに来い。,"...Come here.","...Иди сюда."
phrase223,アランが手招きをする。,"Alan motioned for her to come closer.","Алан поманил её рукой."
phrase224,マリアが傍に寄れば,"When Maria approached,","Когда Мария подошла,"
phrase225,「座れ」と彼は自分の傍を示した。,"he patted the ground beside him and said, 'Sit.'","он указал на место рядом с собой и сказал: «Садись»."
phrase226,もっと近くに寄れ。,"Come closer.","Подойди ближе."
phrase227,（もしかして、アラン様……,"(Could it be that Prince Alan...","(Может быть, Алан-сама..."
phrase228,膝枕、してほしい……のかな？）,"wants me to give him a lap pillow?)","хочет, чтобы я сделала ему колени подушкой?)"
phrase229,そう考えながら言われたとおりにすると,"Thinking that, she did as she was told,","Подумав так, она сделала, как было сказано,"
phrase230,予想どおり、アランはマリアの足の上に,"and as she expected, Alan","и, как она ожидала, Алан"
phrase231,のしり、と頭を乗せてきた。,"rested his head on her lap.","уложил голову ей на колени."
phrase232,横を向いてマリアの方を見ないのは,"He turned his head away, not looking at Maria,","Он отвернулся, не глядя на Марию,"
phrase233,甘えたい気持ちと恥ずかしい気持ちが,"as if torn between wanting comfort","словно разрываясь между желанием заботы"
phrase234,せめぎあっているからだろうか。,"and feeling embarrassed.","и чувством смущения."
phrase235,かわいらしい様子に,"Seeing this cute side of him,","Наблюдая за этим его милым поведением,"
phrase236,マリアは口元がちょっと緩んでしまう。,"Maria couldn't help but smile.","Мария невольно улыбнулась."
phrase237,試験、どうだった？,"How were the exams?","Как прошли экзамены?"
phrase238,あ、ええと……,"Ah, um...","Э-э..."
phrase239,悪くない手応えかな、って感じです。,"I think I did pretty well.","Кажется, я справилась неплохо."
phrase240,アラン様は？,"And you, Prince Alan?","А вы, Алан-сама?"
phrase241,まあ、それなりに。,"Well, I did okay.","Ну, нормально."
phrase242,そうですか。,"I see.","Понятно."
phrase243,お疲れ様でした。,"Good job.","Вы хорошо потрудились."
phrase244,他愛もない会話だ。,"It was a simple conversation.","Это был обычный разговор."
phrase245,話題が途切れると,"When the conversation ended,","Когда разговор иссяк,"
phrase246,少しだけ沈黙が流れる。,"a brief silence fell between them.","между ними воцарилось молчание."
phrase247,優しい風がそよそよと吹いて,"A gentle breeze blew softly,","Нежный ветерок тихо дул,"
phrase248,木漏れ日が柔らかく瞬いた。,"and the sunlight flickered through the leaves.","и солнечный свет мягко пробивался сквозь листья."
phrase249,お前のおかげなんだ。,"It's all thanks to you.","Это всё благодаря тебе."
phrase250,唐突に、アランが口を開く。,"Alan suddenly spoke.","Неожиданно заговорил Алан."
phrase251,お前と出会ったことで……,"Ever since I met you...","С тех пор, как я встретил тебя..."
phrase252,俺は、背負ってた重いものを,"I've been able to let go of the heavy burdens","я смог сбросить тяжёлую ношу,"
phrase253,下ろすことができた。,"I was carrying.","которую нёс."
phrase254,前しか向いちゃダメなんだと,"I always thought I had to keep looking forward,","Я всегда думал, что должен только двигаться вперёд,"
phrase255,ずっと思ってた俺に……,"but you taught me","но ты научила меня,"
phrase256,力を抜いていいことを教えてくれた。,"that it's okay to relax sometimes.","что иногда можно расслабиться."
phrase257,努力すること、真面目に取り組むこと。,"To work hard, to take things seriously.","Стараться, серьёзно относиться к делу."
phrase258,勉強もバイオリンも――,"Whether it was studying or playing the violin—","Учёба, игра на скрипке—"
phrase259,どうせダメなんだって諦めてたそれらに,"I had given up on them, thinking I'd never be good,","Я уже смирился с тем, что мне не удастся добиться успеха,"
phrase260,正面から向き合えるようになったのは,"but now I can face them head-on,","но теперь я могу смотреть на это иначе,"
phrase261,全部……お前のおかげだ。,"and it's all thanks to you.","и всё это благодаря тебе."
phrase262,アラン様……。,"Prince Alan...","Алан-сама..."
phrase263,マリアと会ってから,"Ever since I met you, Maria,","С тех пор, как я встретил тебя, Мария,"
phrase264,俺の日々が変わったんだ。,"my days have changed.","моя жизнь изменилась."
phrase265,明るくて、眩しくて、大切で……。,"They're brighter, more meaningful, precious...","Они стали светлее, важнее, более ценными..."
phrase266,誰かとの優劣にすがるんじゃなくて,"Instead of comparing myself to others,","Вместо того, чтобы сравнивать себя с другими,"
phrase267,自分のままでいていいんだ、って。,"I learned that I can just be myself.","я понял, что могу оставаться самим собой."
phrase268,そうお前に教えてもらって、,"That's what you taught me,","Ты научила меня этому,"
phrase269,……嬉しかったんだ、すごく。,"and it made me so happy.","и это сделало меня очень счастливым."
phrase270,マリア。,"Maria.","Мария."
phrase271,……ありがとな。,"...Thank you.","...Спасибо."
phrase272,どういたしまして、アラン様。,"You're welcome, Prince Alan.","Пожалуйста, Алан-сама."
phrase273,マリアはアランの額を優しく撫でた。,"Maria gently stroked Alan's forehead.","Мария нежно погладила Алана по лбу."
phrase274,――きっと、これまでアランは,"Surely, Alan had never had anyone","Наверное, до сих пор у Алана никогда не было того,"
phrase275,頭を撫でて褒めてくれる手を,"who would stroke his head and praise him,","кто бы погладил его по голове и похвалил его,"
phrase276,求めても得られなかったのだろうと思いながら。,"no matter how much he yearned for it.","как бы сильно он этого ни хотел."
phrase277,（ひょっとして、アラン様は……,"(Could it be that Prince Alan...","(Может быть, Алан-сама..."
phrase278,私と話をするために、ここにいたのかな）,"was waiting here just to talk to me?)","ждал здесь только для того, чтобы поговорить со мной?)"
phrase279,（……なんて）,"(...No, that can't be.)","(...Нет, не может быть.)"
phrase280,穏やかで静かなひとときが過ぎる。,"A peaceful, quiet moment passed.","Прошёл спокойный, тихий момент."
phrase281,しかし、静寂を破ったのは,"But it was Alan who broke the silence.","Но тишину нарушил Алан."
phrase282,やはりアランからだった。,"Of course, it had to be Alan.","Конечно, это был Алан."
phrase283,彼はパッと跳ね起きると,"He suddenly jumped up","Он резко вскочил"
phrase284,意を決したかのようにこう言った。,"and, as if making a decision, said,","и, будто приняв решение, сказал:"
phrase285,伝えたいことがある。,"There's something I want to tell you.","Я хочу тебе кое-что сказать."
phrase286,だが、その前に俺は,"But before that,","Но перед этим"
phrase287,やらなきゃいけないことがある。,"there's something I need to do.","я должен кое-что сделать."
phrase288,……だからまた明日,"...So tomorrow,","...Так что завтра"
phrase289,今日と同じ時間に、ここに来い。,"come here at the same time as today.","приходи сюда в это же время."
phrase290,そう言って,"Saying that,","Сказав это,"
phrase291,アランは「絶対だぞ」と念押しをして,"Alan emphasized, 'You better be there,'","Алан добавил: «Ты обязательно должна прийти»,"
phrase292,どこかへと駆けて行った。,"and ran off somewhere.","и побежал куда-то."
phrase293,マリアはアランとの約束を思い出しながら,"Remembering her promise with Alan,","Вспоминая обещание, данное Алану,"
phrase294,中庭への道を歩いていた。,"Maria walked to the courtyard.","Мария направилась к саду."
phrase295,しかし、その道を塞ぐように立つ人影がある。,"But someone was blocking her path.","Но кто-то преградил ей путь."
phrase296,その正体は――,"And that person was—","Этим человеком была—"
name297,メアリ,"Mary","Мэри"
phrase298,こんにちは、マリアさん。,"Hello, Maria.","Здравствуйте, Мария."
phrase299,アランの婚約者であるメアリだった。,"It was Mary, Alan's fiancée.","Это была Мэри, невеста Алана."
phrase300,マリアさん。,"Maria.","Мария."
phrase301,あなたにひとつだけ,"I have just one thing","У меня к вам только один"
phrase302,たずねたいことがございます。,"I want to ask you.","вопрос."
phrase303,メアリの眼差しは真っ直ぐで,"Mary's gaze was direct,","Взгляд Мэри был прямым,"
phrase304,凛として真剣だった。,"dignified, and serious.","величественным и серьёзным."
phrase305,マリアは表情を引き締めて,"Maria straightened her expression","Мария подобрала лицо"
phrase306,彼女の言葉を促した。,"and encouraged her to speak.","и подала знак продолжить."
phrase307,――あなたにとって,"—To you,","—Для вас,"
phrase308,アラン様とはどういう存在ですか？,"what kind of person is Prince Alan?","кем является Алан-сама?"
phrase309,私にとって、ですか？,"To me?","Для меня?"
phrase310,マリアは少しだけ考えると,"Maria thought for a moment,","Мария задумалась на мгновение,"
phrase311,メアリの目を見すえ、しっかりと語り始めた。,"then looked into Mary's eyes and began to speak firmly.","затем посмотрела в глаза Мэри и начала уверенно говорить."
phrase312,強がりで、意地っ張りで,"He's stubborn, proud,","Он упрямый, гордый,"
phrase313,でも素直で頑張り屋で優しくて,"but honest, hardworking, and kind.","но честный, трудолюбивый и добрый."
phrase314,……本当は誰よりも等身大な人。,"...More than anyone, he's true to himself.","...Больше всех он настоящ."
